"","Date","Time","Latitude","Longitude","Species","Multispecies","Total.zebras","DazzleID"
"2","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"7","6/3/21",1126,0.478855584,36.86247627,"GZ",0,17,7
"8","6/3/21",1137,0.04600112,36.85658199,"GZ",0,5,8
"9","6/3/21",1148,0.50163067,36.85006329,"GZ",0,1,9
"10","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"13","6/3/21",1322,0.483220847,36.8394061,"GZ",0,4,13
"14","6/3/21",1328,0.48578593,36.83735492,"GZ",0,2,14
"15","6/3/21",1345,0.501811998,36.85066333,"GZ",0,5,15
"16","6/3/21",1404,0.474282615,36.84896837,"GZ",0,6,16
"18","6/4/21",1045,0.477839068,36.82977621,"GZ",0,10,18
"20","6/4/21",1119,0.482913156,36.84354778,"GZ",0,6,20
"26","6/4/21",1221,0.468424706,36.84108245,"GZ",0,3,26
"27","6/4/21",1227,0.47868424,36.84296581,"GZ",0,2,27
"35","6/7/21",1213,0.469371946,36.85240759,"GZ",0,8,35
"37","6/7/21",1303,0.466059446,36.83595656,"GZ",0,3,37
"39","6/7/21",1326,0.482998215,36.82700266,"GZ",0,2,39
"40","6/7/21",1404,0.460702646,36.83262721,"GZ",0,9,40
"41","6/7/21",1025,0.476369231,36.86187213,"GZ",0,5,41
"46","6/7/21",1229,0.486544831,36.84900169,"GZ",0,1,46
"48","6/7/21",1209,0.480635235,36.84473683,"GZ",0,1,48
"50","6/7/21",1318,0.481563793,36.84589527,"GZ",0,8,50
"53","6/8/21",1051,0.478885207,36.84279846,"GZ",0,4,53
"59","6/9/21",1009,0.478847062,36.86111532,"GZ",0,1,59
"60","6/9/21",1019,0.496834321,36.85184016,"GZ",0,3,60
"61","6/9/21",1040,0.497810044,36.84302495,"GZ",0,16,61
"62","6/9/21",1101,0.498814734,36.85239056,"GZ",0,1,62
"210","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"2.1","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"2.2","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"2.3","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"2.4","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"2.5","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"2.6","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"2.7","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"2.8","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"2.9","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"2.10","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"2.11","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"2.12","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"2.13","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"71","6/3/21",1126,0.478855584,36.86247627,"GZ",0,17,7
"7.1","6/3/21",1126,0.478855584,36.86247627,"GZ",0,17,7
"7.2","6/3/21",1126,0.478855584,36.86247627,"GZ",0,17,7
"7.3","6/3/21",1126,0.478855584,36.86247627,"GZ",0,17,7
"7.4","6/3/21",1126,0.478855584,36.86247627,"GZ",0,17,7
"7.5","6/3/21",1126,0.478855584,36.86247627,"GZ",0,17,7
"7.6","6/3/21",1126,0.478855584,36.86247627,"GZ",0,17,7
"7.7","6/3/21",1126,0.478855584,36.86247627,"GZ",0,17,7
"7.8","6/3/21",1126,0.478855584,36.86247627,"GZ",0,17,7
"7.9","6/3/21",1126,0.478855584,36.86247627,"GZ",0,17,7
"7.10","6/3/21",1126,0.478855584,36.86247627,"GZ",0,17,7
"7.11","6/3/21",1126,0.478855584,36.86247627,"GZ",0,17,7
"7.12","6/3/21",1126,0.478855584,36.86247627,"GZ",0,17,7
"7.13","6/3/21",1126,0.478855584,36.86247627,"GZ",0,17,7
"7.14","6/3/21",1126,0.478855584,36.86247627,"GZ",0,17,7
"7.15","6/3/21",1126,0.478855584,36.86247627,"GZ",0,17,7
"7.16","6/3/21",1126,0.478855584,36.86247627,"GZ",0,17,7
"81","6/3/21",1137,0.04600112,36.85658199,"GZ",0,5,8
"8.1","6/3/21",1137,0.04600112,36.85658199,"GZ",0,5,8
"8.2","6/3/21",1137,0.04600112,36.85658199,"GZ",0,5,8
"8.3","6/3/21",1137,0.04600112,36.85658199,"GZ",0,5,8
"8.4","6/3/21",1137,0.04600112,36.85658199,"GZ",0,5,8
"91","6/3/21",1148,0.50163067,36.85006329,"GZ",0,1,9
"101","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"10.1","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"10.2","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"10.3","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"10.4","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"10.5","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"10.6","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"10.7","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"10.8","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"10.9","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"10.10","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"10.11","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"10.12","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"10.13","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"10.14","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"10.15","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"10.16","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"10.17","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"10.18","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"10.19","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"131","6/3/21",1322,0.483220847,36.8394061,"GZ",0,4,13
"13.1","6/3/21",1322,0.483220847,36.8394061,"GZ",0,4,13
"13.2","6/3/21",1322,0.483220847,36.8394061,"GZ",0,4,13
"13.3","6/3/21",1322,0.483220847,36.8394061,"GZ",0,4,13
"141","6/3/21",1328,0.48578593,36.83735492,"GZ",0,2,14
"14.1","6/3/21",1328,0.48578593,36.83735492,"GZ",0,2,14
"151","6/3/21",1345,0.501811998,36.85066333,"GZ",0,5,15
"15.1","6/3/21",1345,0.501811998,36.85066333,"GZ",0,5,15
"15.2","6/3/21",1345,0.501811998,36.85066333,"GZ",0,5,15
"15.3","6/3/21",1345,0.501811998,36.85066333,"GZ",0,5,15
"15.4","6/3/21",1345,0.501811998,36.85066333,"GZ",0,5,15
"161","6/3/21",1404,0.474282615,36.84896837,"GZ",0,6,16
"16.1","6/3/21",1404,0.474282615,36.84896837,"GZ",0,6,16
"16.2","6/3/21",1404,0.474282615,36.84896837,"GZ",0,6,16
"16.3","6/3/21",1404,0.474282615,36.84896837,"GZ",0,6,16
"16.4","6/3/21",1404,0.474282615,36.84896837,"GZ",0,6,16
"16.5","6/3/21",1404,0.474282615,36.84896837,"GZ",0,6,16
"181","6/4/21",1045,0.477839068,36.82977621,"GZ",0,10,18
"18.1","6/4/21",1045,0.477839068,36.82977621,"GZ",0,10,18
"18.2","6/4/21",1045,0.477839068,36.82977621,"GZ",0,10,18
"18.3","6/4/21",1045,0.477839068,36.82977621,"GZ",0,10,18
"18.4","6/4/21",1045,0.477839068,36.82977621,"GZ",0,10,18
"18.5","6/4/21",1045,0.477839068,36.82977621,"GZ",0,10,18
"18.6","6/4/21",1045,0.477839068,36.82977621,"GZ",0,10,18
"18.7","6/4/21",1045,0.477839068,36.82977621,"GZ",0,10,18
"18.8","6/4/21",1045,0.477839068,36.82977621,"GZ",0,10,18
"18.9","6/4/21",1045,0.477839068,36.82977621,"GZ",0,10,18
"201","6/4/21",1119,0.482913156,36.84354778,"GZ",0,6,20
"20.1","6/4/21",1119,0.482913156,36.84354778,"GZ",0,6,20
"20.2","6/4/21",1119,0.482913156,36.84354778,"GZ",0,6,20
"20.3","6/4/21",1119,0.482913156,36.84354778,"GZ",0,6,20
"20.4","6/4/21",1119,0.482913156,36.84354778,"GZ",0,6,20
"20.5","6/4/21",1119,0.482913156,36.84354778,"GZ",0,6,20
"261","6/4/21",1221,0.468424706,36.84108245,"GZ",0,3,26
"26.1","6/4/21",1221,0.468424706,36.84108245,"GZ",0,3,26
"26.2","6/4/21",1221,0.468424706,36.84108245,"GZ",0,3,26
"271","6/4/21",1227,0.47868424,36.84296581,"GZ",0,2,27
"27.1","6/4/21",1227,0.47868424,36.84296581,"GZ",0,2,27
"351","6/7/21",1213,0.469371946,36.85240759,"GZ",0,8,35
"35.1","6/7/21",1213,0.469371946,36.85240759,"GZ",0,8,35
"35.2","6/7/21",1213,0.469371946,36.85240759,"GZ",0,8,35
"35.3","6/7/21",1213,0.469371946,36.85240759,"GZ",0,8,35
"35.4","6/7/21",1213,0.469371946,36.85240759,"GZ",0,8,35
"35.5","6/7/21",1213,0.469371946,36.85240759,"GZ",0,8,35
"35.6","6/7/21",1213,0.469371946,36.85240759,"GZ",0,8,35
"35.7","6/7/21",1213,0.469371946,36.85240759,"GZ",0,8,35
"371","6/7/21",1303,0.466059446,36.83595656,"GZ",0,3,37
"37.1","6/7/21",1303,0.466059446,36.83595656,"GZ",0,3,37
"37.2","6/7/21",1303,0.466059446,36.83595656,"GZ",0,3,37
"391","6/7/21",1326,0.482998215,36.82700266,"GZ",0,2,39
"39.1","6/7/21",1326,0.482998215,36.82700266,"GZ",0,2,39
"401","6/7/21",1404,0.460702646,36.83262721,"GZ",0,9,40
"40.1","6/7/21",1404,0.460702646,36.83262721,"GZ",0,9,40
"40.2","6/7/21",1404,0.460702646,36.83262721,"GZ",0,9,40
"40.3","6/7/21",1404,0.460702646,36.83262721,"GZ",0,9,40
"40.4","6/7/21",1404,0.460702646,36.83262721,"GZ",0,9,40
"40.5","6/7/21",1404,0.460702646,36.83262721,"GZ",0,9,40
"40.6","6/7/21",1404,0.460702646,36.83262721,"GZ",0,9,40
"40.7","6/7/21",1404,0.460702646,36.83262721,"GZ",0,9,40
"40.8","6/7/21",1404,0.460702646,36.83262721,"GZ",0,9,40
"411","6/7/21",1025,0.476369231,36.86187213,"GZ",0,5,41
"41.1","6/7/21",1025,0.476369231,36.86187213,"GZ",0,5,41
"41.2","6/7/21",1025,0.476369231,36.86187213,"GZ",0,5,41
"41.3","6/7/21",1025,0.476369231,36.86187213,"GZ",0,5,41
"41.4","6/7/21",1025,0.476369231,36.86187213,"GZ",0,5,41
"461","6/7/21",1229,0.486544831,36.84900169,"GZ",0,1,46
"481","6/7/21",1209,0.480635235,36.84473683,"GZ",0,1,48
"501","6/7/21",1318,0.481563793,36.84589527,"GZ",0,8,50
"50.1","6/7/21",1318,0.481563793,36.84589527,"GZ",0,8,50
"50.2","6/7/21",1318,0.481563793,36.84589527,"GZ",0,8,50
"50.3","6/7/21",1318,0.481563793,36.84589527,"GZ",0,8,50
"50.4","6/7/21",1318,0.481563793,36.84589527,"GZ",0,8,50
"50.5","6/7/21",1318,0.481563793,36.84589527,"GZ",0,8,50
"50.6","6/7/21",1318,0.481563793,36.84589527,"GZ",0,8,50
"50.7","6/7/21",1318,0.481563793,36.84589527,"GZ",0,8,50
"531","6/8/21",1051,0.478885207,36.84279846,"GZ",0,4,53
"53.1","6/8/21",1051,0.478885207,36.84279846,"GZ",0,4,53
"53.2","6/8/21",1051,0.478885207,36.84279846,"GZ",0,4,53
"53.3","6/8/21",1051,0.478885207,36.84279846,"GZ",0,4,53
"591","6/9/21",1009,0.478847062,36.86111532,"GZ",0,1,59
"601","6/9/21",1019,0.496834321,36.85184016,"GZ",0,3,60
"60.1","6/9/21",1019,0.496834321,36.85184016,"GZ",0,3,60
"60.2","6/9/21",1019,0.496834321,36.85184016,"GZ",0,3,60
"611","6/9/21",1040,0.497810044,36.84302495,"GZ",0,16,61
"61.1","6/9/21",1040,0.497810044,36.84302495,"GZ",0,16,61
"61.2","6/9/21",1040,0.497810044,36.84302495,"GZ",0,16,61
"61.3","6/9/21",1040,0.497810044,36.84302495,"GZ",0,16,61
