"","Date","Time","Latitude","Longitude","Species","Multispecies","Total.zebras","DazzleID"
"1","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"5","6/3/21",1103,0.478243289,36.8614674,"PZ",0,12,5
"6","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"11","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"17","6/4/21",1025,0.452792203,36.83933094,"PZ",0,6,17
"21","6/4/21",1128,0.470724828,36.84041488,"PZ",0,1,21
"23","6/4/21",1148,0.469732218,36.83658387,"PZ",0,8,23
"24","6/4/21",1203,0.450930767,36.84259335,"PZ",0,12,24
"25","6/4/21",1215,0.466200303,36.84099728,"PZ",0,7,25
"28","6/4/21",1234,0.473806177,36.84896161,"PZ",0,1,28
"29","6/4/21",1244,0.466227576,36.8506015,"PZ",0,18,29
"31","6/4/21",1315,0.462613257,36.84806615,"PZ",0,14,31
"32","6/7/21",1100,0.469817537,36.85597013,"PZ",0,10,32
"33","6/7/21",1133,0.463384325,36.84910361,"PZ",0,6,33
"34","6/7/21",1156,0.462712747,36.84819748,"PZ",0,9,34
"36","6/7/21",1258,0.46055664,36.83395197,"PZ",0,2,36
"38","6/7/21",1314,0.470322378,36.83921785,"PZ",0,8,38
"43","6/7/21",1131,0.500721663,36.85005174,"PZ",0,8,43
"44","6/7/21",1226,0.492809851,36.84799289,"PZ",0,6,44
"45","6/7/21",1249,0.488408154,36.85745372,"PZ",0,6,45
"47","6/7/21",1158,0.487940379,34.74379547,"PZ",0,5,47
"49","6/7/21",1216,0.481029653,36.84618201,"PZ",0,7,49
"52","6/8/21",1025,0.460881632,36.83240176,"PZ",0,9,52
"54","6/8/21",1106,0.451053681,36.84328489,"PZ",0,6,54
"55","6/8/21",1126,0.46289419,36.85023041,"PZ",0,7,55
"56","6/8/21",1136,0.469643126,36.85229486,"PZ",0,6,56
"57","6/8/21",1142,0.46977749,36.8540047,"PZ",0,14,57
"110","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.1","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.2","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.3","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.4","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.5","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.6","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.7","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.8","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.9","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.10","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.11","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"510","6/3/21",1103,0.478243289,36.8614674,"PZ",0,12,5
"5.1","6/3/21",1103,0.478243289,36.8614674,"PZ",0,12,5
"5.2","6/3/21",1103,0.478243289,36.8614674,"PZ",0,12,5
"5.3","6/3/21",1103,0.478243289,36.8614674,"PZ",0,12,5
"5.4","6/3/21",1103,0.478243289,36.8614674,"PZ",0,12,5
"5.5","6/3/21",1103,0.478243289,36.8614674,"PZ",0,12,5
"5.6","6/3/21",1103,0.478243289,36.8614674,"PZ",0,12,5
"5.7","6/3/21",1103,0.478243289,36.8614674,"PZ",0,12,5
"5.8","6/3/21",1103,0.478243289,36.8614674,"PZ",0,12,5
"5.9","6/3/21",1103,0.478243289,36.8614674,"PZ",0,12,5
"5.10","6/3/21",1103,0.478243289,36.8614674,"PZ",0,12,5
"5.11","6/3/21",1103,0.478243289,36.8614674,"PZ",0,12,5
"63","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.1","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.2","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.3","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.4","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.5","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.6","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.7","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.8","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.9","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.10","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.11","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.12","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.13","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.14","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.15","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.16","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.17","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.18","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.19","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.20","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.21","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.22","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.23","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.24","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.25","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.26","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.27","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.28","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.29","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.30","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.31","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"6.32","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"111","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"11.1","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"11.2","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"11.3","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"11.4","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"11.5","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"11.6","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"11.7","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"11.8","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"11.9","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"11.10","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"11.11","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"11.12","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"11.13","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"11.14","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"11.15","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"11.16","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"11.17","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"11.18","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"11.19","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"171","6/4/21",1025,0.452792203,36.83933094,"PZ",0,6,17
"17.1","6/4/21",1025,0.452792203,36.83933094,"PZ",0,6,17
"17.2","6/4/21",1025,0.452792203,36.83933094,"PZ",0,6,17
"17.3","6/4/21",1025,0.452792203,36.83933094,"PZ",0,6,17
"17.4","6/4/21",1025,0.452792203,36.83933094,"PZ",0,6,17
"17.5","6/4/21",1025,0.452792203,36.83933094,"PZ",0,6,17
"211","6/4/21",1128,0.470724828,36.84041488,"PZ",0,1,21
"231","6/4/21",1148,0.469732218,36.83658387,"PZ",0,8,23
"23.1","6/4/21",1148,0.469732218,36.83658387,"PZ",0,8,23
"23.2","6/4/21",1148,0.469732218,36.83658387,"PZ",0,8,23
"23.3","6/4/21",1148,0.469732218,36.83658387,"PZ",0,8,23
"23.4","6/4/21",1148,0.469732218,36.83658387,"PZ",0,8,23
"23.5","6/4/21",1148,0.469732218,36.83658387,"PZ",0,8,23
"23.6","6/4/21",1148,0.469732218,36.83658387,"PZ",0,8,23
"23.7","6/4/21",1148,0.469732218,36.83658387,"PZ",0,8,23
"241","6/4/21",1203,0.450930767,36.84259335,"PZ",0,12,24
"24.1","6/4/21",1203,0.450930767,36.84259335,"PZ",0,12,24
"24.2","6/4/21",1203,0.450930767,36.84259335,"PZ",0,12,24
"24.3","6/4/21",1203,0.450930767,36.84259335,"PZ",0,12,24
"24.4","6/4/21",1203,0.450930767,36.84259335,"PZ",0,12,24
"24.5","6/4/21",1203,0.450930767,36.84259335,"PZ",0,12,24
"24.6","6/4/21",1203,0.450930767,36.84259335,"PZ",0,12,24
"24.7","6/4/21",1203,0.450930767,36.84259335,"PZ",0,12,24
"24.8","6/4/21",1203,0.450930767,36.84259335,"PZ",0,12,24
"24.9","6/4/21",1203,0.450930767,36.84259335,"PZ",0,12,24
"24.10","6/4/21",1203,0.450930767,36.84259335,"PZ",0,12,24
"24.11","6/4/21",1203,0.450930767,36.84259335,"PZ",0,12,24
"251","6/4/21",1215,0.466200303,36.84099728,"PZ",0,7,25
"25.1","6/4/21",1215,0.466200303,36.84099728,"PZ",0,7,25
"25.2","6/4/21",1215,0.466200303,36.84099728,"PZ",0,7,25
"25.3","6/4/21",1215,0.466200303,36.84099728,"PZ",0,7,25
"25.4","6/4/21",1215,0.466200303,36.84099728,"PZ",0,7,25
"25.5","6/4/21",1215,0.466200303,36.84099728,"PZ",0,7,25
"25.6","6/4/21",1215,0.466200303,36.84099728,"PZ",0,7,25
"281","6/4/21",1234,0.473806177,36.84896161,"PZ",0,1,28
"291","6/4/21",1244,0.466227576,36.8506015,"PZ",0,18,29
"29.1","6/4/21",1244,0.466227576,36.8506015,"PZ",0,18,29
"29.2","6/4/21",1244,0.466227576,36.8506015,"PZ",0,18,29
"29.3","6/4/21",1244,0.466227576,36.8506015,"PZ",0,18,29
"29.4","6/4/21",1244,0.466227576,36.8506015,"PZ",0,18,29
"29.5","6/4/21",1244,0.466227576,36.8506015,"PZ",0,18,29
"29.6","6/4/21",1244,0.466227576,36.8506015,"PZ",0,18,29
"29.7","6/4/21",1244,0.466227576,36.8506015,"PZ",0,18,29
"29.8","6/4/21",1244,0.466227576,36.8506015,"PZ",0,18,29
"29.9","6/4/21",1244,0.466227576,36.8506015,"PZ",0,18,29
"29.10","6/4/21",1244,0.466227576,36.8506015,"PZ",0,18,29
"29.11","6/4/21",1244,0.466227576,36.8506015,"PZ",0,18,29
"29.12","6/4/21",1244,0.466227576,36.8506015,"PZ",0,18,29
"29.13","6/4/21",1244,0.466227576,36.8506015,"PZ",0,18,29
"29.14","6/4/21",1244,0.466227576,36.8506015,"PZ",0,18,29
"29.15","6/4/21",1244,0.466227576,36.8506015,"PZ",0,18,29
"29.16","6/4/21",1244,0.466227576,36.8506015,"PZ",0,18,29
"29.17","6/4/21",1244,0.466227576,36.8506015,"PZ",0,18,29
"311","6/4/21",1315,0.462613257,36.84806615,"PZ",0,14,31
"31.1","6/4/21",1315,0.462613257,36.84806615,"PZ",0,14,31
"31.2","6/4/21",1315,0.462613257,36.84806615,"PZ",0,14,31
"31.3","6/4/21",1315,0.462613257,36.84806615,"PZ",0,14,31
"31.4","6/4/21",1315,0.462613257,36.84806615,"PZ",0,14,31
"31.5","6/4/21",1315,0.462613257,36.84806615,"PZ",0,14,31
"31.6","6/4/21",1315,0.462613257,36.84806615,"PZ",0,14,31
"31.7","6/4/21",1315,0.462613257,36.84806615,"PZ",0,14,31
"31.8","6/4/21",1315,0.462613257,36.84806615,"PZ",0,14,31
"31.9","6/4/21",1315,0.462613257,36.84806615,"PZ",0,14,31
"31.10","6/4/21",1315,0.462613257,36.84806615,"PZ",0,14,31
"31.11","6/4/21",1315,0.462613257,36.84806615,"PZ",0,14,31
"31.12","6/4/21",1315,0.462613257,36.84806615,"PZ",0,14,31
"31.13","6/4/21",1315,0.462613257,36.84806615,"PZ",0,14,31
"321","6/7/21",1100,0.469817537,36.85597013,"PZ",0,10,32
"32.1","6/7/21",1100,0.469817537,36.85597013,"PZ",0,10,32
"32.2","6/7/21",1100,0.469817537,36.85597013,"PZ",0,10,32
"32.3","6/7/21",1100,0.469817537,36.85597013,"PZ",0,10,32
"32.4","6/7/21",1100,0.469817537,36.85597013,"PZ",0,10,32
"32.5","6/7/21",1100,0.469817537,36.85597013,"PZ",0,10,32
"32.6","6/7/21",1100,0.469817537,36.85597013,"PZ",0,10,32
"32.7","6/7/21",1100,0.469817537,36.85597013,"PZ",0,10,32
"32.8","6/7/21",1100,0.469817537,36.85597013,"PZ",0,10,32
"32.9","6/7/21",1100,0.469817537,36.85597013,"PZ",0,10,32
"331","6/7/21",1133,0.463384325,36.84910361,"PZ",0,6,33
"33.1","6/7/21",1133,0.463384325,36.84910361,"PZ",0,6,33
"33.2","6/7/21",1133,0.463384325,36.84910361,"PZ",0,6,33
"33.3","6/7/21",1133,0.463384325,36.84910361,"PZ",0,6,33
"33.4","6/7/21",1133,0.463384325,36.84910361,"PZ",0,6,33
"33.5","6/7/21",1133,0.463384325,36.84910361,"PZ",0,6,33
"341","6/7/21",1156,0.462712747,36.84819748,"PZ",0,9,34
"34.1","6/7/21",1156,0.462712747,36.84819748,"PZ",0,9,34
"34.2","6/7/21",1156,0.462712747,36.84819748,"PZ",0,9,34
"34.3","6/7/21",1156,0.462712747,36.84819748,"PZ",0,9,34
"34.4","6/7/21",1156,0.462712747,36.84819748,"PZ",0,9,34
"34.5","6/7/21",1156,0.462712747,36.84819748,"PZ",0,9,34
"34.6","6/7/21",1156,0.462712747,36.84819748,"PZ",0,9,34
"34.7","6/7/21",1156,0.462712747,36.84819748,"PZ",0,9,34
"34.8","6/7/21",1156,0.462712747,36.84819748,"PZ",0,9,34
"361","6/7/21",1258,0.46055664,36.83395197,"PZ",0,2,36
"36.1","6/7/21",1258,0.46055664,36.83395197,"PZ",0,2,36
"381","6/7/21",1314,0.470322378,36.83921785,"PZ",0,8,38
"38.1","6/7/21",1314,0.470322378,36.83921785,"PZ",0,8,38
"38.2","6/7/21",1314,0.470322378,36.83921785,"PZ",0,8,38
"38.3","6/7/21",1314,0.470322378,36.83921785,"PZ",0,8,38
"38.4","6/7/21",1314,0.470322378,36.83921785,"PZ",0,8,38
"38.5","6/7/21",1314,0.470322378,36.83921785,"PZ",0,8,38
"38.6","6/7/21",1314,0.470322378,36.83921785,"PZ",0,8,38
"38.7","6/7/21",1314,0.470322378,36.83921785,"PZ",0,8,38
"431","6/7/21",1131,0.500721663,36.85005174,"PZ",0,8,43
"43.1","6/7/21",1131,0.500721663,36.85005174,"PZ",0,8,43
"43.2","6/7/21",1131,0.500721663,36.85005174,"PZ",0,8,43
"43.3","6/7/21",1131,0.500721663,36.85005174,"PZ",0,8,43
"43.4","6/7/21",1131,0.500721663,36.85005174,"PZ",0,8,43
"43.5","6/7/21",1131,0.500721663,36.85005174,"PZ",0,8,43
"43.6","6/7/21",1131,0.500721663,36.85005174,"PZ",0,8,43
"43.7","6/7/21",1131,0.500721663,36.85005174,"PZ",0,8,43
"441","6/7/21",1226,0.492809851,36.84799289,"PZ",0,6,44
"44.1","6/7/21",1226,0.492809851,36.84799289,"PZ",0,6,44
"44.2","6/7/21",1226,0.492809851,36.84799289,"PZ",0,6,44
"44.3","6/7/21",1226,0.492809851,36.84799289,"PZ",0,6,44
"44.4","6/7/21",1226,0.492809851,36.84799289,"PZ",0,6,44
"44.5","6/7/21",1226,0.492809851,36.84799289,"PZ",0,6,44
"451","6/7/21",1249,0.488408154,36.85745372,"PZ",0,6,45
"45.1","6/7/21",1249,0.488408154,36.85745372,"PZ",0,6,45
"45.2","6/7/21",1249,0.488408154,36.85745372,"PZ",0,6,45
"45.3","6/7/21",1249,0.488408154,36.85745372,"PZ",0,6,45
"45.4","6/7/21",1249,0.488408154,36.85745372,"PZ",0,6,45
"45.5","6/7/21",1249,0.488408154,36.85745372,"PZ",0,6,45
"471","6/7/21",1158,0.487940379,34.74379547,"PZ",0,5,47
"47.1","6/7/21",1158,0.487940379,34.74379547,"PZ",0,5,47
"47.2","6/7/21",1158,0.487940379,34.74379547,"PZ",0,5,47
"47.3","6/7/21",1158,0.487940379,34.74379547,"PZ",0,5,47
"47.4","6/7/21",1158,0.487940379,34.74379547,"PZ",0,5,47
"491","6/7/21",1216,0.481029653,36.84618201,"PZ",0,7,49
"49.1","6/7/21",1216,0.481029653,36.84618201,"PZ",0,7,49
"49.2","6/7/21",1216,0.481029653,36.84618201,"PZ",0,7,49
"49.3","6/7/21",1216,0.481029653,36.84618201,"PZ",0,7,49
"49.4","6/7/21",1216,0.481029653,36.84618201,"PZ",0,7,49
"49.5","6/7/21",1216,0.481029653,36.84618201,"PZ",0,7,49
"49.6","6/7/21",1216,0.481029653,36.84618201,"PZ",0,7,49
"521","6/8/21",1025,0.460881632,36.83240176,"PZ",0,9,52
"52.1","6/8/21",1025,0.460881632,36.83240176,"PZ",0,9,52
"52.2","6/8/21",1025,0.460881632,36.83240176,"PZ",0,9,52
"52.3","6/8/21",1025,0.460881632,36.83240176,"PZ",0,9,52
"52.4","6/8/21",1025,0.460881632,36.83240176,"PZ",0,9,52
"52.5","6/8/21",1025,0.460881632,36.83240176,"PZ",0,9,52
"52.6","6/8/21",1025,0.460881632,36.83240176,"PZ",0,9,52
"52.7","6/8/21",1025,0.460881632,36.83240176,"PZ",0,9,52
"52.8","6/8/21",1025,0.460881632,36.83240176,"PZ",0,9,52
"541","6/8/21",1106,0.451053681,36.84328489,"PZ",0,6,54
"54.1","6/8/21",1106,0.451053681,36.84328489,"PZ",0,6,54
"54.2","6/8/21",1106,0.451053681,36.84328489,"PZ",0,6,54
"54.3","6/8/21",1106,0.451053681,36.84328489,"PZ",0,6,54
"54.4","6/8/21",1106,0.451053681,36.84328489,"PZ",0,6,54
"54.5","6/8/21",1106,0.451053681,36.84328489,"PZ",0,6,54
"551","6/8/21",1126,0.46289419,36.85023041,"PZ",0,7,55
"55.1","6/8/21",1126,0.46289419,36.85023041,"PZ",0,7,55
"55.2","6/8/21",1126,0.46289419,36.85023041,"PZ",0,7,55
"55.3","6/8/21",1126,0.46289419,36.85023041,"PZ",0,7,55
"55.4","6/8/21",1126,0.46289419,36.85023041,"PZ",0,7,55
"55.5","6/8/21",1126,0.46289419,36.85023041,"PZ",0,7,55
"55.6","6/8/21",1126,0.46289419,36.85023041,"PZ",0,7,55
"561","6/8/21",1136,0.469643126,36.85229486,"PZ",0,6,56
"56.1","6/8/21",1136,0.469643126,36.85229486,"PZ",0,6,56
"56.2","6/8/21",1136,0.469643126,36.85229486,"PZ",0,6,56
"56.3","6/8/21",1136,0.469643126,36.85229486,"PZ",0,6,56
"56.4","6/8/21",1136,0.469643126,36.85229486,"PZ",0,6,56
"56.5","6/8/21",1136,0.469643126,36.85229486,"PZ",0,6,56
