"","Date","Time","Latitude","Longitude","Species","Multispecies","Total.zebras","DazzleID"
"1","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"2","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"3","6/3/21",1046,0.472146249,36.85981476,"GZPZ",2,26,3
"4","6/3/21",1055,0.476648303,36.85996747,"GZPZ",2,17,4
"5","6/3/21",1103,0.478243289,36.8614674,"PZ",0,12,5
"6","6/3/21",1116,0.470072435,36.86202857,"PZ",0,33,6
"7","6/3/21",1126,0.478855584,36.86247627,"GZ",0,17,7
"8","6/3/21",1137,0.04600112,36.85658199,"GZ",0,5,8
"9","6/3/21",1148,0.50163067,36.85006329,"GZ",0,1,9
"10","6/3/21",1158,0.497019943,36.83998142,"GZ",0,20,10
"11","6/3/21",1302,0.47880626,36.84758671,"PZ",0,20,11
"12","6/3/21",1314,0.481024214,36.8440771,"GZPZ",2,44,12
"13","6/3/21",1322,0.483220847,36.8394061,"GZ",0,4,13
"14","6/3/21",1328,0.48578593,36.83735492,"GZ",0,2,14
"15","6/3/21",1345,0.501811998,36.85066333,"GZ",0,5,15
"16","6/3/21",1404,0.474282615,36.84896837,"GZ",0,6,16
"17","6/4/21",1025,0.452792203,36.83933094,"PZ",0,6,17
"18","6/4/21",1045,0.477839068,36.82977621,"GZ",0,10,18
"19","6/4/21",1102,0.482575779,36.83464424,"GZPZ",2,16,19
"20","6/4/21",1119,0.482913156,36.84354778,"GZ",0,6,20
"21","6/4/21",1128,0.470724828,36.84041488,"PZ",0,1,21
"22","6/4/21",1138,0.47000135,36.83922024,"GZPZ",2,10,22
"23","6/4/21",1148,0.469732218,36.83658387,"PZ",0,8,23
"24","6/4/21",1203,0.450930767,36.84259335,"PZ",0,12,24
"25","6/4/21",1215,0.466200303,36.84099728,"PZ",0,7,25
"26","6/4/21",1221,0.468424706,36.84108245,"GZ",0,3,26
"27","6/4/21",1227,0.47868424,36.84296581,"GZ",0,2,27
"28","6/4/21",1234,0.473806177,36.84896161,"PZ",0,1,28
"29","6/4/21",1244,0.466227576,36.8506015,"PZ",0,18,29
"30","6/4/21",1251,0.462679441,36.84788225,"GZPZ",2,11,30
"31","6/4/21",1315,0.462613257,36.84806615,"PZ",0,14,31
"32","6/7/21",1100,0.469817537,36.85597013,"PZ",0,10,32
"33","6/7/21",1133,0.463384325,36.84910361,"PZ",0,6,33
"34","6/7/21",1156,0.462712747,36.84819748,"PZ",0,9,34
"35","6/7/21",1213,0.469371946,36.85240759,"GZ",0,8,35
"36","6/7/21",1258,0.46055664,36.83395197,"PZ",0,2,36
"37","6/7/21",1303,0.466059446,36.83595656,"GZ",0,3,37
"38","6/7/21",1314,0.470322378,36.83921785,"PZ",0,8,38
"39","6/7/21",1326,0.482998215,36.82700266,"GZ",0,2,39
"40","6/7/21",1404,0.460702646,36.83262721,"GZ",0,9,40
"41","6/7/21",1025,0.476369231,36.86187213,"GZ",0,5,41
"42","6/7/21",1110,0.499373496,36.85224601,"GZPZ",2,37,42
"43","6/7/21",1131,0.500721663,36.85005174,"PZ",0,8,43
"44","6/7/21",1226,0.492809851,36.84799289,"PZ",0,6,44
"45","6/7/21",1249,0.488408154,36.85745372,"PZ",0,6,45
"46","6/7/21",1229,0.486544831,36.84900169,"GZ",0,1,46
"47","6/7/21",1158,0.487940379,34.74379547,"PZ",0,5,47
"48","6/7/21",1209,0.480635235,36.84473683,"GZ",0,1,48
"49","6/7/21",1216,0.481029653,36.84618201,"PZ",0,7,49
"50","6/7/21",1318,0.481563793,36.84589527,"GZ",0,8,50
"51","6/8/21",951,0.447381873,36.84068739,"GZPZ",2,17,51
"52","6/8/21",1025,0.460881632,36.83240176,"PZ",0,9,52
"53","6/8/21",1051,0.478885207,36.84279846,"GZ",0,4,53
"54","6/8/21",1106,0.451053681,36.84328489,"PZ",0,6,54
"55","6/8/21",1126,0.46289419,36.85023041,"PZ",0,7,55
"56","6/8/21",1136,0.469643126,36.85229486,"PZ",0,6,56
"57","6/8/21",1142,0.46977749,36.8540047,"PZ",0,14,57
"58","6/9/21",952,0.469912579,36.85792599,"GZPZ",2,16,58
"59","6/9/21",1009,0.478847062,36.86111532,"GZ",0,1,59
"60","6/9/21",1019,0.496834321,36.85184016,"GZ",0,3,60
"61","6/9/21",1040,0.497810044,36.84302495,"GZ",0,16,61
"62","6/9/21",1101,0.498814734,36.85239056,"GZ",0,1,62
"110","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.1","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.2","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.3","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.4","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.5","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.6","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.7","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.8","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.9","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.10","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"1.11","6/3/21",1020,0.468911959,36.85907079,"PZ",0,12,1
"210","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"2.1","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"2.2","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"2.3","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"2.4","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"2.5","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"2.6","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
"2.7","6/3/21",1025,0.47077494,36.85956264,"GZ",0,14,2
