"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Closest.mob.size","Scaled.mob.size","Distance.from.herd","Closest.herd.size","Distance.from.herd.opp.sp","Closest.herd.size.opp.sp","Distance.from.opp.sp","Closest.opp.sp.size","Identifier","Population"
"7/7/21","3","DSCN4635",1,936,0.493674376,36.85514689,"CKC",NA,"full","medium","no rain","Grazing","hock","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Pennisetum stramineum","Aristida kenyensis","light",NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.005939678,"Cattle",2021,7,7,9,36,"Giraffe","",NA,4,261187.5192,54903.36482,"LB","LB","LB",3.05464421394252e-08,7.60369497824435e-08,0.294155210256577,0.565100012271444,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT115",267.496121990569
"7/7/21","3","DSCN4635",2,940,0.496736443,36.85662182,"CC",NA,"full","medium","no rain","Grazing","hock","brown","Cynodon nlemfuensis","Pennisetum stramineum","Microchloa kunthii","Cynodon plectostachyus","light",NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olmotiok",0.002657629,"Cattle",2021,7,7,9,40,"Giraffe"," Impala",NA,4,261351.8616,55242,"LB","LB","LB",2.49738780982361e-08,5.43860645690903e-08,0.335135132074356,0.655044902271527,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT116",362.565047682812
"7/7/21","3","DSCN4635",3,944,0.499174665,36.85877766,"CC",NA,"full","medium","no rain","Grazing","hock","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Pennisetum stramineum","Microchloa kunthii","light",NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olmotiok",0.000188428,"Cattle",2021,7,7,9,44,"Goat","",NA,4,261592,55511.6077,"MB","MB","LB",2.31425472071219e-08,5.95009113412832e-08,0.354686439037323,0.708990429977086,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT117",720.843424240426
"7/7/21","3","DSCN4636",2,1001,0.519234796,36.86671878,"CC",NA,"part","medium","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Microchloa kunthii","Cynodon nlemfuensis","light",NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.000291051,"Cattle",2021,7,7,10,1,"Tommy","",NA,4,262476.9707,57730.11076,"MB","MB","MB",1.37811173698541e-05,1.4678379274152e-05,0.304347813129425,1.04126679462572,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT118",159.05414575341
"7/7/21","4","DSCN4638",3,1034,0.490423538,36.87880108,"CC",NA,"part","light","","Grazing","hoof","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Microchloa kunthii","Cyperus rubicundus","open grassland",NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Calves, Olmotiok",0.003038145,"Cattle",2021,7,7,10,34,"","",NA,4,263821.2583,54542.95202,"OG","OG","LB",3.9185774849018e-08,5.39815950296095e-08,0.275888919830322,0.425438245417434,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT119",64.4741959094125
"7/7/21","4","DSCN4639",2,1041,0.482597771,36.88085012,"CC",NA,"part","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Pennisetum stramineum","Cyperus teneristolon","light",NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olmotiok",0.004695215,"Cattle",2021,7,7,10,41,"","",NA,4,264049.1394,53677.30222,"OG","LB","OG",2.94252602152837e-08,5.32333688116815e-08,0.265063226222992,0.428869453582605,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT120",72.3762415540039
"7/7/21","4","DSCN4640",1,1101,0.478719746,36.87854051,"CC",NA,"part","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Microchloa kunthii","Themeda triandra","Cenchrus ciliaris","light",NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olmotiok",0.001517956,"Cattle",2021,7,7,11,1,"Donkey","",NA,4,263791.8356,53248.44935,"OG","OG","OG",5.32583577822225e-08,5.56195252945067e-08,0.271003305912018,0.450282113284971,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT121",64.4741959094125
"7/7/21","4","DSCN4640",2,1109,0.476956635,36.87675525,"CC",NA,"no sun","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Microchloa kunthii","Pennisetum stramineum","Cynodon plectostachyus","light",NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olmotiok",0.00068048,"Cattle",2021,7,7,11,9,"","",NA,4,263592.9904,53053.5,"OG","LB","OG",4.4290766827693e-06,4.52174708989836e-06,0.236849129199982,0.346159850140493,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT122",76.2199122231922
"7/7/21","4","DSCN4640",3,1113,0.47368597,36.86930224,"CC",NA,"full","light","no rain","Grazing","hock","brown","Cynodon nlemfuensis","Pennisetum mezzianum","Microchloa kunthii","Cynodon plectostachyus","light",NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.003685239,"Cattle",2021,7,7,11,13,"","",NA,4,262763,52692,"OG","OG","OG",1.61224396977524e-05,1.68581605265711e-05,0.308310985565186,0.511607215077247,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT123",87.3885189073182
"7/7/21","4","DSCN4641",1,1144,0.469980924,36.85995438,"CC",NA,"part","light","no rain","Grazing","hock","brown","Enteropogon macrostachyus","Eragrostis tenuifolia","Digitaria macroblefara","Chloris roxburghiana","light",NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lima 5",0.004002896,"Cattle",2021,7,7,11,44,"","",NA,4,261722,52282.51666,"OG","OG","OG",2.4293300756442e-08,6.97551260727744e-08,0.327526122331619,0.622173193601765,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT124",267.496121990569
