"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Closest.mob.size","Scaled.mob.size","Distance.from.herd","Closest.herd.size","Distance.from.herd.opp.sp","Closest.herd.size.opp.sp","Distance.from.opp.sp","Closest.opp.sp.size","Identifier","Population"
"7/8/21","3","DSCN4694",2,1401,0.521798146,36.86483793,"PZ",0,"part","light","no rain","Standing","hock","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","medium",NA,NA,7,1,1,2,1,1,NA,NA,NA,NA,1,NA,"Gwaso Marok River, vigilant",0.002175291,"PZ",2021,7,8,14,1,"","",NA,3,262267.6381,58013.70678,"MB","MB","MB",1.85198190487468e-06,1.93619122430722e-06,0.346740633249283,0.875350140056022,0,4,4e+10,594.699283285725,11,NA,NA,NA,NA,"PZ139",43.0351707065885
"7/8/21","3","DSCN4695",3,1434,0.50234513,36.85293521,"PZ",0,"part","light","no rain","Walking","hock","brown","Cynodon plectostachyus","Microchloa kunthii","Pennisetum stramineum","","medium",NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gwaso Marok River",0.003946841,"PZ",2021,7,8,14,34,"","",NA,3,260941.5648,55862.5,"MB","MB","LB",2.21878815009546e-08,6.6624472895966e-08,0.338629603385925,0.655853314527504,1183.15709608034,28,0.0236654964017528,1335.05364986063,30,NA,NA,NA,NA,"PZ140",51.9615242270663
"7/8/21","4","DSCN4696",1,1006,0.472043949,36.86584428,"PZ",0,"no sun","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Cenchrus ciliaris","Pennisetum stramineum","","medium",2376,2396,5,1,NA,2,1,NA,NA,NA,NA,1,NA,NA,"Daraboi Area",0.002963864,"PZ",2021,7,8,10,6,"","",NA,3,262377.9045,52510.5,"OG","OG","OG",7.60477575204477e-06,8.01490212900394e-06,0.377266049385071,0.71621244535392,1621.48219614636,41,0.0252855073570581,1774.70307882191,3,NA,NA,NA,NA,"PZ141",33.4370152488211
"7/8/21","4","DSCN4698",3,1045,0.484216661,36.87792511,"PZ",0,"no sun","light","no rain","Standing","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","","","medium",2397,2410,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,"Uhur-Nwth Exclosure",0.003942567,"PZ",2021,7,8,10,45,"","",NA,2,263723.5034,53856.46382,"OG","OG","OG",9.77757280022714e-07,1.07898745858111e-06,0.31732052564621,0.364813451153657,0,19,1.9e+11,529.450518144964,3,NA,NA,NA,NA,"PZ142",22.7950705695478
"7/8/21","4","DSCN4699",1,1105,0.483541805,36.87280429,"PZ",0,"no sun","light","no rain","Grazing","hock","","Pennisetum stramineum","Cynodon plectostachyus","Cynodon nlemfuensis","","medium",2411,2438,6,1,NA,1,2,NA,NA,NA,1,1,NA,NA,"Tower Area",0.000954961,"PZ",2021,7,8,11,5,"","",NA,3,263153.2872,53782,"OG","OG","OG",2.58379013994173e-05,2.58615426988793e-05,0.250654608011246,0.473300970873786,575.057714696006,19,0.0330401619079933,798.207961018322,41,NA,NA,NA,NA,"PZ143",38.3365862547763
"7/8/21","4","DSCN4701",2,1204,0.484245382,36.86640844,"PZ",0,"part","light","no rain","Resting","hock","brown","Cynodon plectostachyus","Pennisetum stramineum","Microchloa kunthii","","medium",2439,2495,8,1,NA,NA,2,NA,NA,2,NA,NA,1,1,"Opposite Tower Area, vigilant",0.001487001,"PZ",2021,7,8,12,4,"Impala","",NA,3,262441.1452,53860.04551,"LB","LB","LB",2.87790934511526e-05,2.98237857132515e-05,0.295061737298965,0.735158412796063,946.46372905709,25,0.02641411311652,1186.83543509559,7,NA,NA,NA,NA,"PZ144",47.5682846001088
"7/8/21","3","DSCN4692",1,1246,0.495596572,36.85584544,"PZ",0,"part","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","medium",2561,2625,19,3,NA,4,6,NA,NA,NA,NA,4,2,NA,"Boundary Area 243",0.004009075,"PZ",2021,7,8,12,46,"","",NA,3,261265.3713,55115.94955,"LB","LB","LB",2.910090119476e-08,4.60724116029626e-08,0.317166566848755,0.595566207309766,575.585169774657,25,0.0434340586116616,1065.54143110963,30,NA,NA,NA,NA,"PZ136",91.0049888342792
"7/8/21","3","DSCN4692",2,1259,0.490469768,36.85673158,"PZ",0,"full","light","no rain","Grazing","hock","brown","Microchloa kunthii","Pennisetum stramineum","Cynodon plectostachyus","Chloris roxburghiana","medium",2626,2684,15,1,7,1,3,NA,NA,NA,1,1,1,NA,"Boundary Area",0.006137273,"PZ",2021,7,8,12,59,"","",NA,4,261363.8587,54548.85298,"MB","MB","MB",2.15289801228943e-08,7.69031227772687e-08,0.362896651029587,0.716696127269806,0,25,2.5e+11,1328.70587784835,30,NA,NA,NA,NA,"PZ137",76.2199122231922
"7/8/21","3","DSCN4692",3,1324,0.494555113,36.8629303,"PZ",1,"full","light","no rain","Standing","hock","brown","Pennisetum stramineum","Cynodon plectostachyus","","","thick",2685,2717,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.002250707,"PZ",2021,7,8,13,24,"Impala","",NA,2,262054.225,55000.5,"LB","LB","LB",2.84414549860634e-08,7.20503710120804e-08,0.327115267515182,0.633466649464585,578.366366872485,30,0.0518702360965762,824.979186919621,25,NA,NA,NA,NA,"PZ138",38.3365862547763
"7/8/21","3","DSCN4692",3,1324,0.494555113,36.8629303,"GZ",1,"full","light","no rain","Standing","hock","brown","Pennisetum stramineum","Cynodon plectostachyus","","","thick",2685,2717,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,"",0.002250707,"GZ",2021,7,8,13,24,"Impala","",NA,2,262054.225,55000.5,"LB","LB","LB",2.84414549860634e-08,7.20503710120804e-08,0.327115267515182,0.633466649464585,578.366366872485,30,0.0518702360965762,824.979186919621,25,NA,NA,NA,NA,"GZ103",28.2842712474619
"7/9/21","1","DSCN3012",2,1035,0.442342876,36.84577471,"PZ",0,"no sun","no wind","no rain","Grazing","belly","brown","Pennisetum stramineum","Cynodon plectostachyus","Cenchrus ciliaris","Cymbopogon pospischilii","thick",2768,2811,17,1,8,NA,2,NA,NA,NA,NA,NA,2,NA,"",0.004290787,"PZ",2021,7,9,10,35,"Giraffe","",NA,4,260142.1769,49226,"LB","LB","MB",4.05450063373709e-08,6.11824259340559e-08,0.396698921918869,0.797939324556382,625.195852389086,90,0.143954889745453,2358.34165848551,25,NA,NA,NA,NA,"PZ145",83.7214402859269
"7/9/21","1","DSCN3012",3,1059,0.447485925,36.84168707,"PZ",0,"no sun","medium","no rain","Standing","hock","brown with some green","Pennisetum mezzianum","Pennisetum stramineum","Cynodon dactylon","Cynodon plectostachyus","medium",2812,2842,6,1,NA,3,1,NA,NA,NA,NA,1,NA,NA,"Woundmarks on thigh of 3-6 month old",0.001412867,"PZ",2021,7,9,10,59,"","",NA,4,259687.1821,49795,"OG","OG","OG",3.39513248974641e-07,3.67059015446506e-07,0.368772625923157,0.689888576486515,1321.26247631836,90,0.0681166699373575,1649.5320337935,260,NA,NA,NA,NA,"PZ146",38.3365862547763
"7/9/21","1","DSCN3013",1,1116,0.453928316,36.83097802,"PZ",0,"no sun","light","no rain","Grazing","belly","brown","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","Enteropogon macrostachyus","medium",2843,2858,8,1,NA,2,2,1,NA,NA,NA,2,NA,NA,"",0.005434796,"PZ",2021,7,9,11,16,"Elephant","",NA,4,258494.9298,50507.94464,"OG","OG","OG",4.96482585412608e-07,7.33397596657572e-07,0.396367818117142,0.497827661115134,790.219806117712,260,0.329022378314366,1270.88862419766,389,NA,NA,NA,NA,"PZ147",47.5682846001088
