"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Distance.from.mob.d","Closest.mob.size","Distance.from.herd","Closest.herd.size","Distance.from.herd.opp.sp","Closest.herd.size.opp.sp","Distance.from.opp.sp","Closest.opp.sp.size","Identifier","Population"
"7/7/21","3","DSCN4635",2,940,0.496736443,36.85662182,"CC","","full","medium","no rain","Grazing","hock","brown","Cynodon nlemfuensis","Pennisetum stramineum","Microchloa kunthii","Cynodon plectostachyus","light",NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olmotiok",296.240589372,"Cattle",2021,7,7,9,40,"Giraffe"," Impala","",4,261351.8616,55242,"LB","LB","LB",17.6154281232656,25.995251642822,0.30181011557579,0.591943196638168,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT116",362.565047682812
"7/7/21","3","DSCN4635",3,944,0.499174665,36.85877766,"CC","","full","medium","no rain","Grazing","hock","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Pennisetum stramineum","Microchloa kunthii","light",NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olmotiok",21.003692304,"Cattle",2021,7,7,9,44,"Goat","","",4,261592,55511.6077,"MB","MB","LB",16.957264254497,27.1901759363243,0.316538870334625,0.607994389901823,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT117",720.843424240426
"7/7/21","3","DSCN4636",2,1001,0.519234796,36.86671878,"CC","","part","medium","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Microchloa kunthii","Cynodon nlemfuensis","light",NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",32.442872868,"Cattle",2021,7,7,10,1,"Tommy","","",4,262476.9707,57730.11076,"MB","MB","MB",413.801846878046,427.060359723584,0.315808683633804,0.626811594202899,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT118",159.05414575341
"7/7/21","4","DSCN4638",3,1034,0.490423538,36.87880108,"CC","","part","light","","Grazing","hoof","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Microchloa kunthii","Cyperus rubicundus","open grassland",NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Calves, Olmotiok",338.65594686,"Cattle",2021,7,7,10,34,"","","",4,263821.2583,54542.95202,"OG","OG","LB",22.0655332997781,25.8984078163482,0.259129405021667,0.410724208186701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT119",64.4741959094125
"7/7/21","4","DSCN4639",2,1041,0.482597771,36.88085012,"CC","","part","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Pennisetum stramineum","Cyperus teneristolon","light",NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olmotiok",523.36622562,"Cattle",2021,7,7,10,41,"","","",4,264049.1394,53677.30222,"OG","LB","OG",19.1209895869965,25.718295639489,0.26796281337738,0.439463955637708,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT120",72.3762415540039
"7/7/21","4","DSCN4640",1,1101,0.478719746,36.87854051,"CC","","part","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Microchloa kunthii","Themeda triandra","Cenchrus ciliaris","light",NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olmotiok",169.203519408,"Cattle",2021,7,7,11,1,"Donkey","","",4,263791.8356,53248.44935,"OG","OG","OG",25.7243313116874,26.2883814519746,0.292576432228088,0.487532744736587,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT121",64.4741959094125
"7/7/21","4","DSCN4640",2,1109,0.476956635,36.87675525,"CC","","no sun","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Microchloa kunthii","Pennisetum stramineum","Cynodon plectostachyus","light",NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olmotiok",75.85174464,"Cattle",2021,7,7,11,9,"","","",4,263592.9904,53053.5,"OG","LB","OG",234.588548811584,237.03001434718,0.23588040471077,0.352473936786364,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT122",76.2199122231922
"7/7/21","4","DSCN4640",3,1113,0.47368597,36.86930224,"CC","","full","light","no rain","Grazing","hock","brown","Cynodon nlemfuensis","Pennisetum mezzianum","Microchloa kunthii","Cynodon plectostachyus","light",NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",410.786220852,"Cattle",2021,7,7,11,13,"","","",4,262763,52692,"OG","OG","OG",447.574762148267,457.673009511924,0.313795149326324,0.560668570824077,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT123",87.3885189073182
"7/7/21","4","DSCN4641",1,1144,0.469980924,36.85995438,"CC","","part","light","no rain","Grazing","hock","brown","Enteropogon macrostachyus","Eragrostis tenuifolia","Digitaria macroblefara","Chloris roxburghiana","light",NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lima 5",446.194811328,"Cattle",2021,7,7,11,44,"","","",4,261722,52282.51666,"OG","OG","OG",17.3737461766718,29.4400316740292,0.276065587997437,0.500475511174513,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT124",267.496121990569
"7/8/21","1","DSCN4685",2,1029,0.457933935,36.93196215,"CC","","no sun","no wind","no rain","Grazing","hock","brown","Cynodon plectostachyus","Pennisetum stramineum","Cenchrus ciliaris","Pennisetum mezzianum","light",NA,NA,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olmotiok",392.443938516,"Cattle",2021,7,8,10,29,"","","",4,269739.4279,50947.66044,"MB","LB","MB",213.639587266312,215.888268441106,0.211549133062363,0.291931652746916,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT125",561.472958761351
