"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Distance.from.mob.d","Closest.mob.size","Distance.from.herd","Closest.herd.size","Distance.from.herd.opp.sp","Closest.herd.size.opp.sp","Distance.from.opp.sp","Closest.opp.sp.size","Identifier","Population"
"7/8/21","3","DSCN4692",3,1324,0.494555113,36.8629303,"GZ","1","full","light","no rain","Standing","hock","brown","Pennisetum stramineum","Cynodon plectostachyus","","","thick",2685,2717,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,"",250.881807876,"GZ",2021,7,8,13,24,"Impala","","",2,262054.225,55000.5,"LB","LB","LB",18.7986262703357,29.9204636887027,0.308203995227814,0.597935187840551,578.366366872485,NA,30,824.979186919621,25,NA,NA,NA,NA,"GZ103",28.2842712474619
"7/9/21","2","DSCN3016",1,1239,0.469135296,36.85948429,"GZ","1","part","light","no rain","Standing","hoof","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Pennisetum mezzianum","Pennisetum stramineum","open grassland",2884,3008,10,NA,NA,NA,5,NA,NA,NA,NA,NA,2,3,"",549.184220844,"GZ",2021,7,9,12,39,"","","",4,261669.6269,52189,"LB","OG","OG",21.5062987586482,27.4976212235289,0.274604707956314,0.509580838323353,1387.06167243141,NA,25,1872.93396023088,18,NA,NA,NA,NA,"GZ104",56.2341325190349
"7/12/21","3","DSCN3496",1,1021,0.519078139,36.86099078,"GZ","1","full","light","no rain","Grazing","hock","brown with some green","Cynodon plectostachyus","Cynodon nlemfuensis","","","light",3018,3139,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ewaso-Marok River Bank",376.31485332,"GZ",2021,7,12,10,21,"Impala","","",2,261839.1628,57713,"MB","MB","MB",40.0157544489483,42.3597538370855,0.31166484951973,0.599722029186935,381.752192550576,NA,7,509.15968003504,3,NA,NA,NA,NA,"GZ108",10
"7/12/21","3","DSCN3498",3,1112,0.498663095,36.86690357,"GZ","0","full","light","no rain","Resting","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Microchloa kunthii","Chloris roxburghiana","medium",3152,3183,4,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,"Previous Kaparo Boma Area",515.0769078,"GZ",2021,7,12,11,12,"","","",4,262496.79,55454.72871,"LB","LB","LB",20.3725615177399,27.8453239930631,0.277533054351807,0.533967922806103,787.922240172383,NA,24,972.706053790046,NA,NA,NA,NA,NA,"GZ109",28.2842712474619
"7/12/21","4","DSCN3506",2,1408,0.475048372,36.86037715,"GZ","0","part","light","no rain","Grazing","hoof","brown","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","Microchloa kunthii","light",3455,3475,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Daraboi Area",269.91084456,"GZ",2021,7,12,14,8,"","","",4,261769.2487,52843,"OG","LB","OG",254.782928649656,256.463993108095,0.268111050128937,0.514954486345904,843.062186689091,NA,80,1516.50053391642,NA,NA,NA,NA,NA,"GZ110",16.8179283050743
"7/7/21","4","DSCN4638",1,1025,0.493472469,36.87151867,"GZ","0","part","light","no rain","Walking","hock","brown","Cynodon plectostachyus","Enteropogon macrostachyus","Cynodon nlemfuensis","Cymbopogon pospischilii","medium",4608,4622,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",1.2372948,"GZ",2021,7,7,10,25,"Impala","","",4,263010.4862,54880.44326,"OG","OG","OG",19.2000131043448,26.5382459883037,0.260580629110336,0.513085399449036,878.209391440989,NA,12,1552.56937040214,300,NA,NA,NA,NA,"GZ101",10
"7/7/21","Off Loop","DSCN4642",1,1309,0.3903548,36.86474902,"GZ","0","part","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Enteropogon macrostachyus","light",4623,4634,7,1,NA,2,1,NA,NA,2,NA,NA,1,NA,"Dam Nyeusi, mud along belly and chest, very little water in dam, Mukenye area, walking west Loler adam or Ivan Property",751.723806204,"GZ",2021,7,7,13,9,"","","",4,262253.3974,43475.13047,"OG","OG","LB",2193.91746087646,2194.18921440876,0.260273963212967,0.397055041152263,8823.40267110878,NA,80,9230.94679558761,18,NA,NA,NA,NA,"GZ102",43.0351707065885
"7/12/21","1","DSCN4767",2,1057,0.45406419,36.8419778,"GZ","0","part","no wind","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Pennisetum stramineum","Pennisetum mezzianum","light",4729,4749,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Songaish Dam",1.1481204,"GZ",2021,7,12,10,57,"Elephant","","",4,259719.7721,50522.60472,"OG","OG","OG",19.539528212201,27.2380424606588,0.294152736663818,0.503523644163007,1074.2694197345,NA,120,2321.85748548201,80,NA,NA,NA,NA,"GZ105",10
"7/12/21","2","DSCN4766",1,1134,0.473373654,36.85355007,"GZ","0","part","no wind","no rain","Walking","hock","brown","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","Microchloa kunthii","medium",4750,4753,5,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"",394.71822012,"GZ",2021,7,12,11,34,"Impala","","",4,261009,52658,"OG","OG","OG",26.6173711361504,29.5250809565011,0.271198332309723,0.545454545454545,218.370041424391,NA,80,1604.67771724929,120,NA,NA,NA,NA,"GZ106",33.4370152488211
"7/12/21","2","DSCN4766",3,1158,0.473484587,36.8569234,"GZ","0","part","light","no rain","Grazing","hock","brown","Pennisetum stramineum","Enteropogon macrostachyus","Chloris roxburghiana","Cynodon plectostachyus","light",4754,4765,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"",667.02785604,"GZ",2021,7,12,11,58,"","","",4,261384.6228,52670.15313,"OG","OG","OG",20.2524064766923,23.0429122488739,0.269081503152847,0.514787773790373,423.772039603385,NA,80,1744.11797191512,120,NA,NA,NA,NA,"GZ107",16.8179283050743
