"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Distance.from.mob.d","Closest.mob.size","Distance.from.herd","Closest.herd.size","Distance.from.herd.opp.sp","Closest.herd.size.opp.sp","Distance.from.opp.sp","Closest.opp.sp.size","Identifier","Population"
"7/8/21","3","DSCN4694",2,1401,0.521798146,36.86483793,"PZ","0","part","light","no rain","Standing","hock","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","medium",NA,NA,7,1,1,2,1,1,NA,NA,NA,NA,1,NA,"Gwaso Marok River, vigilant",242.475337188,"PZ",2021,7,8,14,1,"","","",3,262267.6381,58013.70678,"MB","MB","MB",151.694061157432,155.104476629389,0.334864139556885,0.681676534746027,0,NA,4,594.699283285725,11,NA,NA,NA,NA,"PZ139",43.0351707065885
"7/8/21","3","DSCN4695",3,1434,0.50234513,36.85293521,"PZ","0","part","light","no rain","Walking","hock","brown","Cynodon plectostachyus","Microchloa kunthii","Pennisetum stramineum","","medium",NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gwaso Marok River",439.946472588,"PZ",2021,7,8,14,34,"","","",3,260941.5648,55862.5,"MB","MB","LB",16.6038242519078,28.7718045861873,0.306176960468292,0.561749571183533,1183.15709608034,NA,28,1335.05364986063,30,NA,NA,NA,NA,"PZ140",51.9615242270663
"7/8/21","4","DSCN4696",1,1006,0.472043949,36.86584428,"PZ","0","no sun","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Cenchrus ciliaris","Pennisetum stramineum","","medium",2376,2396,5,1,NA,2,1,NA,NA,NA,NA,1,NA,NA,"Daraboi Area",330.375992352,"PZ",2021,7,8,10,6,"","","",3,262377.9045,52510.5,"OG","OG","OG",307.392604743319,315.572623747651,0.311809688806534,0.515497705777694,1621.48219614636,NA,41,1774.70307882191,3,NA,NA,NA,NA,"PZ141",33.4370152488211
"7/8/21","4","DSCN4698",3,1045,0.484216661,36.87792511,"PZ","0","no sun","light","no rain","Standing","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","","","medium",2397,2410,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,"Uhur-Nwth Exclosure",439.470058356,"PZ",2021,7,8,10,45,"","","",2,263723.5034,53856.46382,"OG","OG","OG",110.221353057543,115.786628253541,0.28456848859787,0.494370750195073,0,NA,19,529.450518144964,3,NA,NA,NA,NA,"PZ142",22.7950705695478
"7/8/21","4","DSCN4699",1,1105,0.483541805,36.87280429,"PZ","0","no sun","light","no rain","Grazing","hock","","Pennisetum stramineum","Cynodon plectostachyus","Cynodon nlemfuensis","","medium",2411,2438,6,1,NA,1,2,NA,NA,NA,1,1,NA,NA,"Tower Area",106.447592748,"PZ",2021,7,8,11,5,"","","",3,263153.2872,53782,"OG","OG","OG",566.602944632774,566.862102042165,0.255403876304626,0.417131178000743,575.057714696006,NA,19,798.207961018322,41,NA,NA,NA,NA,"PZ143",38.3365862547763
"7/8/21","4","DSCN4701",2,1204,0.484245382,36.86640844,"PZ","0","part","light","no rain","Resting","hock","brown","Cynodon plectostachyus","Pennisetum stramineum","Microchloa kunthii","","medium",2439,2495,8,1,NA,NA,2,NA,NA,2,NA,NA,1,1,"Opposite Tower Area, vigilant",165.753027468,"PZ",2021,7,8,12,4,"Impala","","",3,262441.1452,53860.04551,"LB","LB","LB",597.982898097442,608.739655302887,0.308724820613861,0.621995192307692,946.46372905709,NA,25,1186.83543509559,7,NA,NA,NA,NA,"PZ144",47.5682846001088
"7/8/21","3","DSCN4692",1,1246,0.495596572,36.85584544,"PZ","0","part","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","medium",2561,2625,19,3,NA,4,6,NA,NA,NA,NA,4,2,NA,"Boundary Area 243",446.8835721,"PZ",2021,7,8,12,46,"","","",3,261265.3713,55115.94955,"LB","LB","LB",19.0153107954341,23.9260321323842,0.291724145412445,0.560116525423729,575.585169774657,NA,25,1065.54143110963,30,NA,NA,NA,NA,"PZ136",91.0049888342792
"7/8/21","3","DSCN4692",2,1259,0.490469768,36.85673158,"PZ","0","full","light","no rain","Grazing","hock","brown","Microchloa kunthii","Pennisetum stramineum","Cynodon plectostachyus","Chloris roxburghiana","medium",2626,2684,15,1,7,1,3,NA,NA,NA,1,1,1,NA,"Boundary Area",684.109546764,"PZ",2021,7,8,12,59,"","","",4,261363.8587,54548.85298,"MB","MB","MB",16.3554288961302,30.9116506549288,0.307926833629608,0.600743494423792,0,NA,25,1328.70587784835,30,NA,NA,NA,NA,"PZ137",76.2199122231922
"7/8/21","3","DSCN4692",3,1324,0.494555113,36.8629303,"PZ","1","full","light","no rain","Standing","hock","brown","Pennisetum stramineum","Cynodon plectostachyus","","","thick",2685,2717,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",250.881807876,"PZ",2021,7,8,13,24,"Impala","","",2,262054.225,55000.5,"LB","LB","LB",18.7986262703357,29.9204636887027,0.308203995227814,0.597935187840551,578.366366872485,NA,30,824.979186919621,25,NA,NA,NA,NA,"PZ138",38.3365862547763
"7/9/21","1","DSCN3012",2,1035,0.442342876,36.84577471,"PZ","0","no sun","no wind","no rain","Grazing","belly","brown","Pennisetum stramineum","Cynodon plectostachyus","Cenchrus ciliaris","Cymbopogon pospischilii","thick",2768,2811,17,1,8,NA,2,NA,NA,NA,NA,NA,2,NA,"",478.285445316,"PZ",2021,7,9,10,35,"Giraffe","","",4,260142.1769,49226,"LB","LB","MB",22.4449630739425,27.5717007034025,0.347577482461929,0.646117699709107,625.195852389086,NA,90,2358.34165848551,25,NA,NA,NA,NA,"PZ145",83.7214402859269
