"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Distance.from.mob.d","Closest.mob.size","Distance.from.herd","Closest.herd.size","Distance.from.herd.opp.sp","Closest.herd.size.opp.sp","Distance.from.opp.sp","Closest.opp.sp.size","Identifier","Population"
"7/7/21","3","DSCN4635",2,940,0.496736443,36.85662182,"SH","","full","medium","no rain","Grazing","hock","brown","Cynodon nlemfuensis","Pennisetum stramineum","Microchloa kunthii","Cynodon plectostachyus","light",NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olmotiok",296.240589372,"SH",2021,7,7,9,40,"Giraffe"," Impala","",4,261351.8616,55242,"LB","LB","LB",17.6154281232656,25.995251642822,0.30181011557579,0.591943196638168,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SH15",316.227766016838
"7/7/21","3","DSCN4636",3,1005,0.512154931,36.86635,"SH","","part","light","no rain","Grazing","hoof","brown","Pennisetum stramineum","Enteropogon macrostachyus","Microchloa kunthii","Cynodon nlemfuensis","light",NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",78.240949752,"SH",2021,7,7,10,5,"Donkey"," Goat","",4,262435.6438,56947.04142,"LB","LB","LB",238.771822051612,251.392175948635,0.310776025056839,0.602710413694722,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SH16",628.716714841468
"7/7/21","4","DSCN4639",1,1038,0.485827942,36.88046486,"SH","","no sun","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Microchloa kunthii","Pennisetum stramineum","Cynodon plectostachyus","light",NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olmotiok",659.120093184,"SH",2021,7,7,10,38,"Donkey"," Goat","",4,264006.3543,54034.59218,"OG","OG","OG",22.915434739032,30.4539459604084,0.256212025880814,0.410764872521246,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SH17",267.496121990569
"7/7/21","4","DSCN4639",2,1041,0.482597771,36.88085012,"SH","","part","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Pennisetum stramineum","Cyperus teneristolon","light",NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olmotiok",523.36622562,"SH",2021,7,7,10,41,"","","",4,264049.1394,53677.30222,"OG","LB","OG",19.1209895869965,25.718295639489,0.26796281337738,0.439463955637708,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SH18",188.03015465432
"7/7/21","4","DSCN4639",3,1057,0.479810414,36.87821052,"SH","","part","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Microchloa kunthii","Cyperus teneristolon","",NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olmotiok",296.18218014,"SH",2021,7,7,10,57,"Eland","","",4,263755.1303,53369.09539,"OG","OG","OG",49.6162590181054,58.4496477961111,0.300484180450439,0.49886514091167,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SH19",242.004549249359
"7/7/21","4","DSCN4640",1,1101,0.478719746,36.87854051,"SH","","part","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Microchloa kunthii","Themeda triandra","Cenchrus ciliaris","light",NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olmotiok",169.203519408,"SH",2021,7,7,11,1,"Donkey","","",4,263791.8356,53248.44935,"OG","OG","OG",25.7243313116874,26.2883814519746,0.292576432228088,0.487532744736587,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SH20",68.4632504202305
"7/8/21","3","DSCN4693",1,1336,0.499510122,36.86458963,"SH","","full","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Microchloa kunthii","","medium",NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",524.952526728,"SH",2021,7,8,13,36,"","","",3,262239.1673,55548.5,"LB","LB","LB",27.6918247113654,29.9196148740809,0.297602266073227,0.570347344235708,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SH21",159.05414575341
"7/8/21","3","DSCN4693",2,1341,0.504810942,36.85939906,"SH","","full","light","no rain","Grazing","hock","brown","Pennisetum stramineum","Cynodon plectostachyus","Pennisetum mezzianum","Cynodon nlemfuensis","thick",NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",228.252577728,"SH",2021,7,8,13,41,"","","",4,261661.3975,56135,"MB","MB","MB",21.0481489412519,26.4184815668992,0.308514297008514,0.606861947382696,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SH22",267.496121990569
"7/8/21","4","DSCN4696",3,1020,0.47981318,36.87978955,"SH","","no sun","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Pennisetum stramineum","Cynodon nlemfuensis","","medium",NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",248.401756344,"SH",2021,7,8,10,20,"Goat","","",3,263930.9511,53369.34648,"OG","OG","OG",15.8175853338908,31.1326273826396,0.316855490207672,0.581747132232447,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SH23",362.565047682812
"7/8/21","4","DSCN4698",1,1024,0.478614971,36.88552211,"SH","","no sun","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Microchloa kunthii","Cynodon nlemfuensis","Microchloa kunthii","medium",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ewaso Nyino River",13.727061264,"SH",2021,7,8,10,24,"","","",4,264569.2159,53236.61902,"OG","OG","OG",17.5190998685438,26.6612614900612,0.270161300897598,0.423246999368288,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SH24",111.803398874989
"7/8/21","4","DSCN4699",3,1115,0.49391517,36.87102856,"SH","","no sun","no wind","no rain","Grazing","","brown with some green","Cenchrus ciliaris","Cynodon nlemfuensis","Microchloa kunthii","Pennisetum stramineum","medium",NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",16.047936492,"SH",2021,7,8,11,15,"","","",4,262955.9293,54929.42649,"OG","OG","OG",22.6618712381477,30.0861612209842,0.26641458272934,0.514266755142668,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SH25",215.582467177851
"7/8/21","4","DSCN4700",2,1125,0.503180272,36.87676246,"SH","","no sun","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Pennisetum stramineum","","","thick",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ewaso Nyino River",141.618533448,"SH",2021,7,8,11,25,"","","",2,263594.718,55954,"MB","MB","MB",20.2115858091956,25.2520993108619,0.378704726696014,0.69621956141531,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SH26",111.803398874989
"7/8/21","4","DSCN4700",3,1132,0.499420811,36.86933003,"SH","","no sun","light","no rain","Grazing","hoof","brown","Microchloa kunthii","Cynodon plectostachyus","","","medium",NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boma",609.213194352,"SH",2021,7,8,11,32,"","","",2,262766.9981,55538.44924,"MB","MB","LB",22.3110777459545,22.6132199951081,0.251893311738968,0.487199082919373,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SH27",267.496121990569
"7/8/21","4","DSCN4701",3,1208,0.48038171,36.86369114,"SH","","part","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Pennisetum stramineum","","","medium",NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Daraboi Area",62.22589632,"SH",2021,7,8,12,8,"Goat","","",2,262138.4425,53432.79111,"OG","LB","LB",417.347942254817,422.779255514528,0.276353269815445,0.545863815419246,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SH28",188.03015465432
"7/12/21","3","DSCN3498",2,1057,0.506726532,36.87217394,"SH","","part","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Microchloa kunthii","","","light",NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous Kaparo Boma Area",431.2585452,"SH",2021,7,12,10,57,"","","",2,263083.9267,56346.40746,"OG","OG","LB",33.2163654520117,37.2424215499145,0.257656455039978,0.487712665406427,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SH29",188.03015465432
"7/12/21","3","DSCN3500",2,1151,0.499377003,36.85844337,"SH","","full","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Microchloa kunthii","Pennisetum stramineum","","medium",NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",64.5455454,"SH",2021,7,12,11,51,"Goat"," Donkey","",3,261554.7846,55534,"MB","MB","MB",17.4400816472534,26.3196832610201,0.334096103906631,0.659539226020178,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SH30",267.496121990569
"7/12/21","4","DSCN3502",3,1315,0.478539183,36.88679291,"SH","","part","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Pennisetum stramineum","Cynodon nlemfuensis","","light",NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ewaso-Ng'iro River Area",63.40634244,"SH",2021,7,12,13,15,"Goat","","",3,264710.7135,53228.19253,"OG","OG","OG",17.0170378006935,28.0505417299054,0.288184434175491,0.455290475323256,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SH31",146.969384566991
