"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Distance.from.mob.d","Closest.mob.size","Distance.from.herd","Closest.herd.size","Distance.from.herd.opp.sp","Closest.herd.size.opp.sp","Distance.from.opp.sp","Closest.opp.sp.size","Identifier","Population"
"7/7/21","3","DSCN4637",1,1010,0.500949405,36.86838219,"ZC","","part","light","no rain","Grazing","hock","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Microchloa kunthii","Aristida kenyensis","light",NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",783.272928648,"Camel",2021,7,7,10,10,"","","",4,262661.5138,55707.55674,"LB","LB","MB",40.7401749422054,47.8490836234724,0.274940818548203,0.53656282998944,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM34",159.05414575341
"7/7/21","4","DSCN4638",2,1030,0.491994746,36.87749106,"ZC","","no sun","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Enteropogon macrostachyus","Pennisetum stramineum","Cynodon nlemfuensis","medium",NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",169.895178348,"Camel",2021,7,7,10,30,"","","",4,263675.4463,54716.784,"OG","OG","OG",26.4717168895863,28.7917062266438,0.263245493173599,0.409157540743296,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM35",215.582467177851
"7/8/21","3","DSCN4693",1,1336,0.499510122,36.86458963,"ZC","","full","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Microchloa kunthii","","medium",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",524.952526728,"Camel",2021,7,8,13,36,"","","",3,262239.1673,55548.5,"LB","LB","LB",27.6918247113654,29.9196148740809,0.297602266073227,0.570347344235708,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM36",111.803398874989
"7/8/21","3","DSCN4694",1,1349,0.519377746,36.86383928,"ZC","","part","light","no rain","Grazing","hock","brown","Pennisetum stramineum","Cynodon plectostachyus","Cynodon nlemfuensis","","light",NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gwaso Marok River",281.717980992,"Camel",2021,7,8,13,49,"Impala","","",3,262156.3494,57746.03093,"MB","MB","MB",172.689050935363,186.718970300393,0.315808683633804,0.626811594202899,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM37",159.05414575341
"7/8/21","3","DSCN4695",2,1424,0.509012932,36.85327647,"ZC","","part","light","no rain","Grazing","hock","brown","Microchloa kunthii","Cynodon plectostachyus","Pennisetum stramineum","","medium",NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gwaso Marok River",95.842081356,"Camel",2021,7,8,14,24,"","","",3,260979.809,56600,"LB","OG","MB",28.2432187854745,33.9869394863113,0.31496062874794,0.610263522884882,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM38",362.565047682812
"7/8/21","4","DSCN4701",1,1140,0.487381001,36.86563005,"ZC","","no sun","light","no rain","Grazing","hock","brown with some green","Cenchrus ciliaris","Cynodon plectostachyus","Harpachne schimperi ","Pennisetum stramineum","medium",NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Opposite Tower Area",426.026683152,"Camel",2021,7,8,11,40,"","","",4,262354.583,54206.89475,"MB","MB","MB",300.400934502825,301.71629891475,0.269805669784546,0.552917751569919,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM39",159.05414575341
"7/9/21","2","DSCN3017",1,1332,0.486137154,36.84641185,"ZC","","part","light","no rain","Grazing","hoof","brown","Cenchrus ciliaris","Microchloa kunthii","Cynodon plectostachyus","","medium",NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ngaramata Dam Area",57.545243532,"Camel",2021,7,9,13,32,"","","",3,260214.6077,54070,"LB","MB","MB",326.75609369309,334.596880927859,0.297353774309158,0.58126871766948,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM40",491.421755287632
"7/12/21","3","DSCN3498",1,1054,0.505600542,36.86851077,"ZC","","part","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Microchloa kunthii","Pennisetum stramineum","medium",NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous Kaparo Boma Area",512.33590968,"Camel",2021,7,12,10,54,"","","",4,262676,56222,"MB","MB","MB",21.3705726017418,26.2303068416063,0.285077184438705,0.559068891280947,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM42",76.2199122231922
"7/12/21","3","DSCN3499",1,1115,0.498402283,36.86641455,"ZC","","full","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Microchloa kunthii","Pennisetum stramineum","medium",NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",485.76751188,"Camel",2021,7,12,11,15,"","","",4,262442.3289,55425.8987,"LB","LB","LB",25.718494197931,27.2995492317811,0.275815218687057,0.544235924932976,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM43",159.05414575341
"7/12/21","3","DSCN3500",2,1151,0.499377003,36.85844337,"ZC","","full","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Microchloa kunthii","Pennisetum stramineum","","medium",NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",64.5455454,"Camel",2021,7,12,11,51,"Goat"," Donkey","",3,261554.7846,55534,"MB","MB","MB",17.4400816472534,26.3196832610201,0.334096103906631,0.659539226020178,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM44",362.565047682812
"7/12/21","4","DSCN3506",1,1350,0.505367366,36.87471918,"ZC","","part","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Microchloa kunthii","medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kaparo's Boma Area",190.21679796,"Camel",2021,7,12,13,50,"","","",4,263367.2836,56195.98133,"MB","MB","MB",21.4468140194107,24.4309278374295,0.341913044452667,0.631180172081675,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM47",NA
"7/14/21","4","DSCN8603",3,1059,0.493612374,36.8717313,"ZC","","part","no wind","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Pennisetum mezzianum","Enteropogon macrostachyus","Cynodon plectostachyus","light",NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",25.39463976,"Camel",2021,7,14,10,59,"Impala","","",4,263034.1671,54895.91013,"OG","OG","OG",17.7621529085548,29.2414642165854,0.253054112195969,0.491725447639718,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM52",128.18610191887
"7/14/21","4","DSCN8604",1,1109,0.503070312,36.87231695,"ZC","","part","no wind","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Enteropogon macrostachyus","Microchloa kunthii","Pennisetum stramineum","open grassland",NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",533.81356392,"Camel",2021,7,14,11,9,"Goat","","",4,263099.718,55942,"OG","MB","OG",24.6567655132509,37.3332368294117,0.269092112779617,0.499148832684825,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM53",267.496121990569
"7/14/21","4","DSCN8604",2,1113,0.500022765,36.87014118,"ZC","","part","no wind","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Microchloa kunthii","Enteropogon macrostachyus","Pennisetum stramineum","light",NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",685.25956212,"Camel",2021,7,14,11,13,"Goat","","",4,262857.3397,55605,"MB","MB","MB",20.5500804646877,28.9775621355771,0.240648791193962,0.453298416261379,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM54",215.582467177851
"7/14/21","4","DSCN8604",3,1117,0.497852187,36.86791158,"ZC","","part","light","no rain","Grazing","hock","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Microchloa kunthii","Pennisetum stramineum","light",NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",436.91108748,"Camel",2021,7,14,11,17,"Goat","","",4,262609,55365,"OG","OG","OG",18.4025946133607,28.4190833345106,0.262984871864319,0.49838026414154,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CM55",428.61606445482
