"Latitude","Longitude","Total.animals","Date","Species","Population"
0.498814734,36.85239056,350,2021-06-09,"Cattle",4.31568522855194
0.490301121,36.85837738,200,2021-06-10,"Cattle",2.83642447837066
0.497184191,36.84358289,240,2021-06-11,"Cattle",3.25204958818953
0.476963095,36.85777227,200,2021-06-12,"Cattle",2.83642447837066
0.499879586,36.84572777,239,2021-06-12,"Cattle",3.24188163096606
0.455600409,36.8317498,250,2021-06-12,"Cattle",3.35315581248783
0.465873341,36.83619868,80,2021-06-12,"Cattle",1.4266459839497
0.501133379,36.84777045,160,2021-06-14,"Cattle",2.39932298747882
0.477660938,36.85950232,300,2021-06-15,"Cattle",3.84449826261561
0.485785825,36.84534865,220,2021-06-15,"Cattle",3.04660211015933
0.500134224,36.85173496,150,2021-06-16,"Cattle",2.28595234375904
0.502111389,36.85056664,150,2021-06-16,"Cattle",2.28595234375904
0.494742247,36.84913502,200,2021-06-16,"Cattle",2.83642447837066
0.49890006,36.85149937,162,2021-06-17,"Cattle",2.4217816759307
0.49842216,36.84550815,240,2021-06-17,"Cattle",3.25204958818953
0.468435333,36.85156982,240,2021-06-18,"Cattle",3.25204958818953
0.486811836,36.8604694,200,2021-06-18,"Cattle",2.83642447837066
0.500591593,36.84561668,300,2021-06-18,"Cattle",3.84449826261561
0.481442805,36.84456876,300,2021-06-18,"Cattle",3.84449826261561
0.472066786,36.85210161,100,2021-06-18,"Cattle",1.68654808542314
0.462287155,36.84102734,100,2021-06-21,"Cattle",1.68654808542314
0.468119882,36.85876544,120,2021-06-21,"Cattle",1.93368025430833
0.487642345,36.86004173,162,2021-06-21,"Cattle",2.4217816759307
0.487708951,36.84743209,220,2021-06-21,"Cattle",3.04660211015933
0.481162289,36.84088194,120,2021-06-22,"MC",1.93368025430833
0.478734676,36.84456276,100,2021-06-22,"MC",1.68654808542314
0.472788775,36.84103295,150,2021-06-22,"MC",2.28595234375904
0.472049501,36.85156438,160,2021-06-22,"CC",2.39932298747882
0.460097277,36.84117812,140,2021-06-23,"Cattle",2.17067475134802
0.486164181,36.86209384,170,2021-06-23,"Cattle",2.51093470278575
0.488524586,36.86186387,105,2021-06-23,"Cattle",1.74940636467534
0.497832558,36.86732894,50,2021-06-23,"CC",1.00282749148971
0.501393021,36.85091115,80,2021-06-23,"CKC",1.4266459839497
0.498397601,36.84664488,100,2021-06-23,"MC",1.68654808542314
0.465796213,36.8498703,100,2021-06-24,"CC",1.68654808542314
0.491447305,36.85606796,170,2021-06-24,"CKC",2.51093470278575
0.473562515,36.8365717,345,2021-06-25,"MC",4.26936267797446
0.480249283,36.84417399,20,2021-06-25,"CC",0.504395524801694
0.462005132,36.84030864,200,2021-06-28,"Cattle",2.83642447837066
0.494227009,36.8411039,344,2021-06-28,"Cattle",4.2600780879315
0.448910279,36.84308414,300,2021-06-29,"CC",3.84449826261561
0.453009512,36.8404217,140,2021-06-29,"CC",2.17067475134802
0.461981143,36.84051746,180,2021-06-29,"CC",2.6209160282007
0.465138546,36.82820459,400,2021-06-29,"Cattle",4.77027835199955
0.492616171,36.83633968,227,2021-06-29,"CKC",3.11901972171446
0.502277014,36.85366034,120,2021-06-29,"CKC",1.93368025430833
0.517726328,36.85975491,110,2021-06-29,"CKC",1.81152045299189
0.521004218,36.86201248,25,2021-06-29,"CKC",0.596284793999944
0.515580771,36.86538213,42,2021-06-29,"CKC",0.879904818017149
0.514661975,36.86199588,13,2021-06-29,"CKC",0.365137335574562
0.521032047,36.8620076,25,2021-06-29,"CC",0.596284793999944
0.515580497,36.86457385,42,2021-06-29,"CC",0.879904818017149
0.514661975,36.86199588,13,2021-06-29,"CC",0.365137335574562
0.505489317,36.86030538,40,2021-06-29,"CC",0.848288777351521
0.475984335,36.87450618,10,2021-06-29,"CC",0.299915373434853
0.477802792,36.87658908,15,2021-06-29,"CC",0.406506198523692
0.478866523,36.88389324,15,2021-06-29,"CC",0.406506198523692
0.478849995,36.88723737,2,2021-06-29,"CC",0.0896956176270629
0.467101274,57.56506265,5,2021-06-29,"CC",0.178330747993713
0.505621484,36.87467912,5,2021-06-29,"CC",0.178330747993713
0.501741145,36.8719105,20,2021-06-29,"CC",0.504395524801694
0.472208849,36.85899791,80,2021-06-29,"Cattle",1.4266459839497
0.509280026,36.85442273,60,2021-06-30,"CC",1.14977315828187
0.512657416,36.85618674,50,2021-06-30,"Cattle",1.00282749148971
0.512499682,36.86561544,50,2021-06-30,"CKC",1.00282749148971
0.506939905,36.87239007,20,2021-06-30,"CC",0.504395524801694
0.47866144,36.88442624,10,2021-06-30,"CC",0.299915373434853
0.47835624,36.88557607,20,2021-06-30,"CC",0.504395524801694
0.482478443,36.88383056,7,2021-06-30,"CC",0.229520910435139
0.480585172,36.88058261,45,2021-06-30,"CC",0.926633748230615
0.492604569,36.87158834,30,2021-06-30,"CC",0.683659210233974
0.501898328,36.33362094,80,2021-06-30,"CKC",1.4266459839497
0.476935696,36.8532743,80,2021-06-30,"CC",1.4266459839497
0.468543618,36.8274628,60,2021-07-01,"CC",1.14977315828187
0.501289724,36.84650926,180,2021-07-01,"MC",2.6209160282007
0.467823764,34.74641507,60,2021-07-01,"CC",1.14977315828187
0.479133487,36.88464886,45,2021-07-01,"CC",0.926633748230615
0.482567366,36.86191349,118,2021-07-01,"CKC",1.90945854186229
0.510171853,36.86055364,81,2021-07-01,"CKC",1.44
0.519909105,36.86612988,4,2021-07-01,"CC",0.15084944665313
0.44124179,36.84760486,20,2021-07-02,"CC",0.504395524801694
0.456765363,36.84142744,230,2021-07-02,"CC",3.14988432290512
0.460589452,36.84119234,200,2021-07-02,"Cattle",2.83642447837066
0.464070754,36.83984438,220,2021-07-02,"CC",3.04660211015933
0.48390434,36.84305794,300,2021-07-02,"CKC",3.84449826261561
0.491177743,36.84730341,50,2021-07-02,"CC",1.00282749148971
0.452416535,36.84190802,20,2021-07-05,"CC",0.504395524801694
0.457452386,36.84102308,220,2021-07-05,"CC",3.04660211015933
0.479400929,36.84658066,190,2021-07-05,"MC",2.72937952106675
0.497528187,36.85311771,120,2021-07-05,"CC",1.93368025430833
0.517143015,36.85995512,28,2021-07-05,"CC",0.649183168771187
0.522433642,36.86297099,33,2021-07-05,"CC",0.734318014955625
0.508498964,36.85956232,15,2021-07-05,"CC",0.406506198523692
0.513023281,36.86680146,20,2021-07-05,"CC",0.504395524801694
0.478946772,36.87814612,16,2021-07-05,"CC",0.426666666666667
0.47833392,36.88648388,3,2021-07-05,"CC",0.121573709704255
0.483565979,36.88727562,25,2021-07-05,"CC",0.596284793999944
0.481581475,36.88255623,11,2021-07-05,"CC",0.322138952241986
0.50162064,36.87801531,70,2021-07-05,"CC",1.29069092932991
0.502130341,36.87197084,60,2021-07-05,"CC",1.14977315828187
0.486216865,36.86499709,30,2021-07-05,"CKC",0.683659210233974
0.475328516,36.8586478,50,2021-07-05,"CC",1.00282749148971
0.452230002,36.84410685,150,2021-07-06,"CC",2.28595234375904
0.453357486,36.84448279,198,2021-07-06,"CC",2.81512459187825
0.46002399,36.84821124,190,2021-07-06,"MC",2.72937952106675
0.46635303,36.84932003,220,2021-07-06,"CC",3.04660211015933
0.449226958,36.85434955,150,2021-07-06,"CC",2.28595234375904
