"Latitude","Longitude","Total.animals","Date","Species","Population"
0.47077494,36.85956264,14,2021-06-03,"GZ",0.386006621621354
0.472146249,36.85981476,3,2021-06-03,"GZ",0.121573709704255
0.476648303,36.85996747,7,2021-06-03,"GZ",0.229520910435139
0.478855584,36.86247627,17,2021-06-03,"GZ",0.44651434819161
0.04600112,36.85658199,5,2021-06-03,"GZ",0.178330747993713
0.50163067,36.85006329,1,2021-06-03,"GZ",0.0533333333333333
0.497019943,36.83998142,20,2021-06-03,"GZ",0.504395524801694
0.481024214,36.8440771,8,2021-06-03,"GZ",0.253697517867247
0.483220847,36.8394061,4,2021-06-03,"GZ",0.15084944665313
0.48578593,36.83735492,2,2021-06-03,"GZ",0.0896956176270629
0.501811998,36.85066333,5,2021-06-03,"GZ",0.178330747993713
0.474282615,36.84896837,6,2021-06-03,"GZ",0.204461793358807
0.477839068,36.82977621,10,2021-06-04,"GZ",0.299915373434853
0.482575779,36.83464424,8,2021-06-04,"GZ",0.253697517867247
0.482913156,36.84354778,6,2021-06-04,"GZ",0.204461793358807
0.47000135,36.83922024,3,2021-06-04,"GZ",0.121573709704255
0.468424706,36.84108245,3,2021-06-04,"GZ",0.121573709704255
0.47868424,36.84296581,2,2021-06-04,"GZ",0.0896956176270629
0.462679441,36.84788225,1,2021-06-04,"GZ",0.0533333333333333
0.469371946,36.85240759,8,2021-06-07,"GZ",0.253697517867247
0.466059446,36.83595656,3,2021-06-07,"GZ",0.121573709704255
0.482998215,36.82700266,2,2021-06-07,"GZ",0.0896956176270629
0.494555113,36.8629303,4,2021-07-08,"GZ",0.15084944665313
0.460702646,36.83262721,9,2021-06-07,"GZ",0.27712812921102
0.493316713,36.83986356,2,2021-06-11,"GZ",0.0896956176270629
0.506908785,36.84485621,8,2021-06-11,"GZ",0.253697517867247
0.501219762,36.85362203,4,2021-06-11,"GZ",0.15084944665313
0.469135296,36.85948429,10,2021-07-09,"GZ",0.299915373434853
0.481999607,36.86130672,8,2021-06-12,"GZ",0.253697517867247
0.494588851,36.85550559,8,2021-06-12,"GZ",0.253697517867247
0.519078139,36.86099078,1,2021-07-12,"GZ",0.0533333333333333
0.494827,36.84305705,19,2021-06-12,"GZ",0.485359940449489
0.491920776,36.83810894,5,2021-06-12,"GZ",0.178330747993713
0.498663095,36.86690357,4,2021-07-12,"GZ",0.15084944665313
0.482766878,36.83849898,3,2021-06-12,"GZ",0.121573709704255
0.463730569,36.8360119,5,2021-06-12,"GZ",0.178330747993713
0.485345348,36.85832857,1,2021-06-17,"GZ",0.0533333333333333
0.49890006,36.85149937,5,2021-06-17,"GZ",0.178330747993713
0.481106358,36.84576039,1,2021-06-17,"GZ",0.0533333333333333
0.478605384,36.8441942,3,2021-06-17,"GZ",0.121573709704255
0.475048372,36.86037715,2,2021-07-12,"GZ",0.0896956176270629
0.499592772,36.85476823,6,2021-06-18,"GZ",0.204461793358807
0.48732613,36.84671643,1,2021-06-18,"GZ",0.0533333333333333
0.46701693,36.8402486,1,2021-06-21,"GZ",0.0533333333333333
0.470712417,36.83985874,5,2021-06-21,"GZ",0.178330747993713
0.454465578,36.84203038,2,2021-06-21,"GZ",0.0896956176270629
0.465458574,36.83977468,5,2021-06-25,"GZ",0.178330747993713
0.475955497,36.85039919,5,2021-06-25,"GZ",0.178330747993713
0.445440137,36.84276155,3,2021-07-01,"GZ",0.121573709704255
0.492847112,36.83942721,1,2021-07-02,"GZ",0.0533333333333333
0.455233606,36.85082349,10,2021-07-02,"GZ",0.299915373434853
0.42646405,36.85222123,2,2021-07-05,"GZ",0.0896956176270629
0.471747038,36.8539836,8,2021-07-05,"GZ",0.253697517867247
0.493472469,36.87151867,1,2021-07-07,"GZ",0.0533333333333333
0.3903548,36.86474902,7,2021-07-07,"GZ",0.229520910435139
0.45406419,36.8419778,1,2021-07-12,"GZ",0.0533333333333333
0.473373654,36.85355007,5,2021-07-12,"GZ",0.178330747993713
0.473484587,36.8569234,2,2021-07-12,"GZ",0.0896956176270629
0.476369231,36.86187213,5,2021-06-07,"GZ",0.178330747993713
0.499373496,36.85224601,21,2021-06-07,"GZ",0.523194535055584
0.480635235,36.84473683,1,2021-06-07,"GZ",0.0533333333333333
0.486544831,36.84900169,1,2021-06-07,"GZ",0.0533333333333333
0.481563793,36.84589527,8,2021-06-07,"GZ",0.253697517867247
0.447381873,36.84068739,3,2021-06-08,"GZ",0.121573709704255
0.478885207,36.84279846,4,2021-06-08,"GZ",0.15084944665313
0.469912579,36.85792599,12,2021-06-09,"GZ",0.343862378183533
0.478847062,36.86111532,1,2021-06-09,"GZ",0.0533333333333333
0.496834321,36.85184016,3,2021-06-09,"GZ",0.121573709704255
