"Latitude","Longitude","Total.animals","Date","Species","Population"
0.462613257,36.84806615,14,2021-06-04,"PZ",0.386006621621354
0.521798146,36.86483793,7,2021-07-08,"PZ",0.229520910435139
0.50234513,36.85293521,9,2021-07-08,"PZ",0.27712812921102
0.468911959,36.85907079,12,2021-06-03,"PZ",0.343862378183533
0.47077494,36.85956264,14,2021-06-03,"GZ",0.386006621621354
0.472146249,36.85981476,23,2021-06-03,"PZ",0.560137443542657
0.472146249,36.85981476,3,2021-06-03,"GZ",0.121573709704255
0.476648303,36.85996747,10,2021-06-03,"PZ",0.299915373434853
0.476648303,36.85996747,7,2021-06-03,"GZ",0.229520910435139
0.478243289,36.8614674,12,2021-06-03,"PZ",0.343862378183533
0.470072435,36.86202857,33,2021-06-03,"PZ",0.734318014955625
0.478855584,36.86247627,17,2021-06-03,"GZ",0.44651434819161
0.04600112,36.85658199,5,2021-06-03,"GZ",0.178330747993713
0.50163067,36.85006329,1,2021-06-03,"GZ",0.0533333333333333
0.497019943,36.83998142,20,2021-06-03,"GZ",0.504395524801694
0.47880626,36.84758671,20,2021-06-03,"PZ",0.504395524801694
0.481024214,36.8440771,36,2021-06-03,"PZ",0.783836717690617
0.481024214,36.8440771,8,2021-06-03,"GZ",0.253697517867247
0.483220847,36.8394061,4,2021-06-03,"GZ",0.15084944665313
0.48578593,36.83735492,2,2021-06-03,"GZ",0.0896956176270629
0.501811998,36.85066333,5,2021-06-03,"GZ",0.178330747993713
0.474282615,36.84896837,6,2021-06-03,"GZ",0.204461793358807
0.452792203,36.83933094,6,2021-06-04,"PZ",0.204461793358807
0.477839068,36.82977621,10,2021-06-04,"GZ",0.299915373434853
0.482575779,36.83464424,8,2021-06-04,"GZ",0.253697517867247
0.482575779,36.83464424,8,2021-06-04,"PZ",0.253697517867247
0.482913156,36.84354778,6,2021-06-04,"GZ",0.204461793358807
0.470724828,36.84041488,1,2021-06-04,"PZ",0.0533333333333333
0.47000135,36.83922024,7,2021-06-04,"PZ",0.229520910435139
0.47000135,36.83922024,3,2021-06-04,"GZ",0.121573709704255
0.469732218,36.83658387,8,2021-06-04,"PZ",0.253697517867247
0.450930767,36.84259335,12,2021-06-04,"PZ",0.343862378183533
0.466200303,36.84099728,7,2021-06-04,"PZ",0.229520910435139
0.472043949,36.86584428,5,2021-07-08,"PZ",0.178330747993713
0.468424706,36.84108245,3,2021-06-04,"GZ",0.121573709704255
0.47868424,36.84296581,2,2021-06-04,"GZ",0.0896956176270629
0.484216661,36.87792511,3,2021-07-08,"PZ",0.121573709704255
0.473806177,36.84896161,1,2021-06-04,"PZ",0.0533333333333333
0.466227576,36.8506015,18,2021-06-04,"PZ",0.466072100839031
0.483541805,36.87280429,6,2021-07-08,"PZ",0.204461793358807
0.484245382,36.86640844,8,2021-07-08,"PZ",0.253697517867247
0.462679441,36.84788225,10,2021-06-04,"PZ",0.299915373434853
0.462679441,36.84788225,1,2021-06-04,"GZ",0.0533333333333333
0.469817537,36.85597013,10,2021-06-07,"PZ",0.299915373434853
0.463384325,36.84910361,6,2021-06-07,"PZ",0.204461793358807
0.495596572,36.85584544,19,2021-07-08,"PZ",0.485359940449489
0.462712747,36.84819748,9,2021-06-07,"PZ",0.27712812921102
0.469371946,36.85240759,8,2021-06-07,"GZ",0.253697517867247
0.490469768,36.85673158,15,2021-07-08,"PZ",0.406506198523692
0.46055664,36.83395197,2,2021-06-07,"PZ",0.0896956176270629
0.466059446,36.83595656,3,2021-06-07,"GZ",0.121573709704255
0.470322378,36.83921785,8,2021-06-07,"PZ",0.253697517867247
0.482998215,36.82700266,2,2021-06-07,"GZ",0.0896956176270629
0.494555113,36.8629303,6,2021-07-08,"PZ",0.204461793358807
0.494555113,36.8629303,4,2021-07-08,"GZ",0.15084944665313
0.460702646,36.83262721,9,2021-06-07,"GZ",0.27712812921102
0.468179402,36.85649734,15,2021-06-11,"PZ",0.406506198523692
0.442342876,36.84577471,17,2021-07-09,"PZ",0.44651434819161
0.487034912,36.83918047,8,2021-06-11,"PZ",0.253697517867247
0.447485925,36.84168707,6,2021-07-09,"PZ",0.204461793358807
0.493316713,36.83986356,2,2021-06-11,"GZ",0.0896956176270629
0.506908785,36.84485621,8,2021-06-11,"GZ",0.253697517867247
0.506908785,36.84485621,4,2021-06-11,"PZ",0.15084944665313
0.453928316,36.83097802,8,2021-07-09,"PZ",0.253697517867247
0.448939099,36.85346555,4,2021-07-09,"PZ",0.15084944665313
0.501219762,36.85362203,8,2021-06-11,"PZ",0.253697517867247
0.501219762,36.85362203,4,2021-06-11,"GZ",0.15084944665313
0.469135296,36.85948429,10,2021-07-09,"PZ",0.299915373434853
0.469135296,36.85948429,10,2021-07-09,"GZ",0.299915373434853
0.4996549,36.85290731,10,2021-06-11,"PZ",0.299915373434853
0.469275261,36.85893522,3,2021-06-12,"PZ",0.121573709704255
0.481999607,36.86130672,8,2021-06-12,"GZ",0.253697517867247
0.494588851,36.85550559,8,2021-06-12,"GZ",0.253697517867247
0.499494302,36.85235698,8,2021-06-12,"PZ",0.253697517867247
0.502229636,36.84822441,8,2021-06-12,"PZ",0.253697517867247
0.519078139,36.86099078,1,2021-07-12,"GZ",0.0533333333333333
0.519078139,36.86099078,39,2021-07-12,"PZ",0.83233313319988
0.494827,36.84305705,19,2021-06-12,"GZ",0.485359940449489
0.494827,36.84305705,6,2021-06-12,"PZ",0.204461793358807
0.491920776,36.83810894,5,2021-06-12,"GZ",0.178330747993713
0.498663095,36.86690357,4,2021-07-12,"GZ",0.15084944665313
0.482766878,36.83849898,3,2021-06-12,"GZ",0.121573709704255
0.463730569,36.8360119,5,2021-06-12,"GZ",0.178330747993713
0.494005348,36.85579438,7,2021-07-12,"PZ",0.229520910435139
0.453275435,36.84151147,5,2021-06-12,"PZ",0.178330747993713
0.480173091,36.86104024,6,2021-07-12,"PZ",0.204461793358807
0.472810477,36.86137692,23,2021-07-12,"PZ",0.560137443542657
0.485345348,36.85832857,35,2021-06-17,"PZ",0.767449418214304
0.485345348,36.85832857,1,2021-06-17,"GZ",0.0533333333333333
0.495867459,36.85341515,22,2021-06-17,"PZ",0.541770980307747
